company,ltp,market cap(in cr),listing open,listing close,issue type,listing date,issue size (in Cr),issue price (in rupee),qib subscription,hni subscription,retail subscription,total subscription,listing gain %,current gain %,lot size,sector,industry,minimum_investment_rupee,subscription_status,min_price_range,max_price_range,no_of_share,change_in_cffoa,change_in_ebitda,change_in_eps,change_in_net_profit,change_in_npm_percent,change_in_roce_percent,change_in_roe_percent,change_in_debt_to_equity_ratio,CAGR
Apeejay Surrendra,154.3,3291.3,186.0,203.6,MainBoard,2024-02-12,920.0,155.0,75.1,52.4,30.4,59.7,20.0,-0.5,96,HOTELS RESTAURANTS & TOURISM,HOTELS,14112,Oversubscribed,147.0,155.0,626.0,562.782,673.3624,163.8889,122.3663,163.4565,906.4748,161.2173,-9.0909,-0.5
Aspire & Innovative,28.6,43.3,56.5,59.3,SME,2024-04-03,22.0,54.0,2.8,34.5,21.8,14.2,4.6,-47.1,2000,CONSUMER DURABLES,HOUSEHOLD APPLIANCES,102000,Oversubscribed,51.0,54.0,41.0,-351.7241,129.4118,133.3333,-27.1429,130.4348,-35.1952,-21.7113,500.0,-47.1
Associated Coaters,92.6,12.5,142.0,134.9,SME,2024-06-06,5.1,121.0,38.9,208.9,417.6,313.3,17.4,-23.5,1000,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING,121000,Oversubscribed,121.0,121.0,0.00422,20.0,300.0,300.0,54.2857,400.0,1778.5978,1412.7551,0.0,-23.5
Atmastco,222.5,550.3,91.0,95.5,SME,2024-02-23,56.3,77.0,38.9,14.4,18.4,16.4,18.2,189.0,1600,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,123200,Oversubscribed,77.0,77.0,73.0,1082.3529,218.0,2500.0,506.8966,2033.3333,88.0707,1402.5974,-7.1429,189.0
Australian Premium Solar,556.9,1118.7,140.0,147.0,SME,2024-01-18,28.1,54.0,56.9,1028.2,711.9,431.8,159.3,931.2,2000,UTILITIES,POWER - ELECTRIC UTILITIES,102000,Oversubscribed,51.0,54.0,52.0,-50.0,63.1579,88.8889,45.4545,83.3333,30.7422,8.3725,-50.0,931.2
Awfis Space Solutions,609.6,4346.5,435.0,421.8,MainBoard,2024-05-30,598.9,383.0,117.0,129.8,54.6,108.6,13.6,59.2,39,DIVERSIFIED CONSUMER SERVICES,SPECIAL CONSUMER SERVICES,14196,Oversubscribed,364.0,383.0,156.0,240.0697,93.9427,-8.3333,64.2259,-9.3897,313.4021,57.6071,0.0,59.2
Aztec Fluids & Machinery,83.3,113.2,90.0,85.5,SME,2024-05-17,24.1,67.0,107.9,252.8,228.4,203.0,34.3,24.3,2000,HARDWARE TECHNOLOGY & EQUIPMENT,COMPUTER HARDWARE,126000,Oversubscribed,63.0,67.0,36.0,4400.0,13.6364,33.3333,-16.9421,32.0,-11.9695,-17.0171,-20.0,24.3
BLS E-Services,186.0,1689.9,305.0,366.0,MainBoard,2024-02-06,310.9,135.0,123.3,300.1,237.0,162.5,125.9,37.8,108,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,13932,Oversubscribed,129.0,135.0,230.0,600.0,415.7895,0.0,-90.0635,11.1111,-43.287,-81.6832,0.0,37.8
Baweja Studios,73.3,135.0,183.0,173.8,SME,2024-02-06,97.2,180.0,0.2,3.6,5.4,2.5,1.7,-59.3,800,MEDIA,MOVIES & ENTERTAINMENT,136000,Oversubscribed,170.0,180.0,54.0,1133.3333,-1.7094,2.381,-72.5585,3.8961,-71.5025,-76.4858,-75.0,-59.3
Beacon Trusteeship,56.0,101.2,90.0,94.5,SME,2024-06-04,32.5,60.0,87.0,1038.6,671.7,434.4,50.0,-6.7,2000,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,114000,Oversubscribed,57.0,60.0,54.0,-200.0,227.7778,250.0,25.4854,254.5455,49.52,6.6434,0.0,-6.7
Bharti Hexacom,1790.2,89510.0,755.0,813.3,MainBoard,2024-04-12,4275.0,570.0,48.6,10.5,2.8,29.9,32.5,214.1,26,TELECOM SERVICES,OTHER TELECOM SERVICES,14092,Oversubscribed,542.0,570.0,750.0,236.6992,153.4563,153.1401,137.1327,153.1193,751.1494,125.0528,-50.0,214.1
Blue Pebble,187.5,76.5,199.0,208.9,SME,2024-04-03,18.1,168.0,11.5,129.8,77.4,52.3,18.4,11.6,800,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,127200,Oversubscribed,159.0,168.0,11.0,1100.0,833.3333,880.0,164.0756,900.0,238.5721,141.4551,-80.0,11.6
Brisk Technovision,101.5,20.3,175.0,183.8,SME,2024-01-31,12.5,156.0,38.9,55.5,34.1,44.8,12.2,-34.9,800,HARDWARE TECHNOLOGY & EQUIPMENT,COMPUTER HARDWARE,124800,Oversubscribed,156.0,156.0,0.008,242.8571,550.0,1314.2857,1162.7907,900.0,249.968,467.7596,-100.0,-34.9
Chatha Foods,101.0,243.2,73.0,76.7,SME,2024-03-27,34.0,56.0,8.5,33.2,14.6,18.0,30.4,80.4,2000,FOOD BEVERAGES & TOBACCO,OTHER FOOD & BEVERAGES,106000,Oversubscribed,53.0,56.0,60.0,455.5556,455.0,158.8235,131.9572,162.5,186.7039,152.443,-16.6667,80.4
DCG Cables & Wires,74.3,134.9,90.0,85.5,SME,2024-04-16,50.0,100.0,38.9,11.1,20.6,15.8,-10.0,-25.7,1200,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,120000,Oversubscribed,100.0,100.0,50.0,-15600.0,1700.0,900.0,356.5217,1600.0,-47.5878,-85.7596,-47.8261,-25.7
DEE Development,299.1,2067.6,325.0,335.0,MainBoard,2024-06-26,418.0,203.0,201.9,144.0,23.4,99.6,60.1,47.3,73,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,14089,Oversubscribed,193.0,203.0,206.0,-70.0581,18.56,-15.625,-31.2849,-15.8371,24.3137,-12.528,100.0,47.3
Deem Roll-Tech,55.0,45.9,200.0,209.7,SME,2024-02-27,29.3,129.0,38.9,296.4,171.4,233.9,55.0,-57.4,1000,METALS & MINING,IRON & STEEL PRODUCTS,129000,Oversubscribed,129.0,129.0,23.0,-42.623,18.75,130.5556,43.2548,130.0,-0.747,56.9992,-25.0,-57.4
Durlax Top Surface,45.9,76.3,109.0,103.5,SME,2024-06-26,40.8,68.0,40.2,438.8,214.3,160.9,60.3,-32.5,2000,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING,130000,Oversubscribed,65.0,68.0,60.0,137.5,17.9104,333.3333,206.8627,320.0,31.1183,235.0267,-26.6667,-32.5
EPACK Durables,356.9,3425.1,221.0,207.6,MainBoard,2024-01-30,640.0,230.0,25.5,28.1,6.3,16.4,-3.9,55.2,65,CONSUMER DURABLES,CONSUMER ELECTRONICS,14170,Oversubscribed,218.0,230.0,278.0,-60.3376,128.5714,312.5,102.8571,310.2564,-25.9276,-4.2403,-51.4286,55.2
Emmforce Autotech,108.5,222.5,186.2,195.5,SME,2024-04-30,53.9,98.0,160.6,637.7,267.6,338.9,90.0,10.8,1200,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,111600,Oversubscribed,93.0,98.0,55.0,23.6111,0.9091,-16.0,-4.7619,-13.7255,-51.2849,-43.9317,133.3333,10.8
Enfuse Solutions,218.0,192.9,115.0,115.5,SME,2024-03-22,22.4,96.0,53.0,1266.9,329.3,331.8,19.8,127.1,1200,SOFTWARE & SERVICES,DATA PROCESSING SERVICES,109200,Oversubscribed,91.0,96.0,23.0,-40.9091,127.2727,83.3333,24.1417,81.25,-57.9984,-54.4484,-42.8571,127.1
Enser Communications,17.4,151.2,72.0,70.1,SME,2024-03-22,16.2,70.0,38.9,3.6,10.4,7.0,2.9,-50.4,2000,SOFTWARE & SERVICES,BPO/KPO,140000,Oversubscribed,70.0,70.0,23.0,-355.5556,342.8571,100.0,595.2756,1700.0,150.3472,641.9786,-11.1111,-50.4
Esconet Technologies,184.3,241.3,290.0,275.5,SME,2024-02-23,28.2,84.0,82.6,1151.4,734.8,471.2,245.2,119.4,1600,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,128000,Oversubscribed,80.0,84.0,34.0,-100.0,6600.0,387.5,244.9339,400.0,1073.4727,197.2173,-44.4444,119.4
Euphoria Infotech,55.9,16.2,190.0,181.5,SME,2024-01-30,9.6,100.0,413.3,238.0,426.6,364.7,90.0,-44.1,1200,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,115200,Oversubscribed,96.0,100.0,0.0096,-66.6667,266.6667,462.5,309.3023,550.0,160.221,241.8378,-20.0,-44.1
Exicom Tele-Systems,164.2,2283.1,265.0,224.9,MainBoard,2024-03-05,424.1,142.0,121.8,153.2,119.6,129.5,86.6,15.6,100,UTILITIES,POWER - ELECTRIC UTILITIES,13500,Oversubscribed,135.0,142.0,314.0,119.2593,65.6098,66.6667,34.3284,82.8571,76.4706,70.1863,0.0,15.6
Faalcon Concepts,43.5,29.7,95.0,90.3,SME,2024-04-26,12.1,62.0,38.9,90.7,44.8,67.8,53.2,-29.8,2000,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,124000,Oversubscribed,62.0,62.0,19.0,-33.3333,1200.0,1200.0,456.7347,1700.0,163.9032,-1.261,-72.7273,-29.8
Falcon Technoprojects,17.8,9.5,84.0,88.2,SME,2024-06-26,13.7,92.0,38.9,43.1,83.2,63.2,-8.7,-80.7,1200,COMMERCIAL SERVICES & SUPPLIES,CONSULTING SERVICES,110400,Oversubscribed,92.0,92.0,15.0,-121.875,118.1818,216.6667,100.639,233.3333,19.9074,34.1537,-35.0877,-80.7
Finelistings Tech,33.4,12.2,127.0,133.3,SME,2024-05-14,13.5,123.0,38.9,34.1,36.9,35.5,3.3,-72.8,1000,SOFTWARE & SERVICES,INTERNET & CATALOGUE RETAIL,123000,Oversubscribed,123.0,123.0,11.0,0.0,1350.0,1080.0,209.2451,1000.0,271.0742,265.7432,-80.9524,-72.8
Fonebox Retail,94.9,97.4,200.0,210.0,SME,2024-02-02,20.4,70.0,74.0,1091.7,1178.7,613.3,185.7,35.6,2000,RETAILING,SPECIALTY RETAIL,132000,Oversubscribed,66.0,70.0,29.0,-5400.0,333.3333,1500.0,103.4048,1500.0,464.8562,488.6449,-50.5155,35.6
GEM Enviro Mgmt,68.3,153.9,142.5,149.6,SME,2024-06-26,44.9,75.0,160.2,330.0,240.3,244.1,90.0,-9.0,1600,UTILITIES,WASTE MANAGEMENT,113600,Oversubscribed,71.0,75.0,60.0,4150.0,67.9012,69.2308,2.3622,72.4138,-26.5476,-27.7062,-18.1818,-9.0
GP Eco Solutions,560.0,662.5,375.0,393.8,SME,2024-06-24,30.8,94.0,116.5,2258.4,977.4,739.1,298.9,495.7,1200,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,108000,Oversubscribed,90.0,94.0,33.0,-34.2105,211.1111,200.0,35.0962,190.0,11.966,-28.0682,-10.0,495.7
GPT Healthcare,159.9,1312.5,215.0,200.7,MainBoard,2024-02-29,525.1,186.0,17.3,11.0,2.4,8.5,15.6,-14.0,80,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,14160,Oversubscribed,177.0,186.0,282.0,54.4186,45.3721,84.6154,24.424,84.8341,60.4707,4.9866,-69.2308,-14.0
GSM Foils,206.0,263.9,32.0,33.6,SME,2024-05-31,11.0,32.0,38.9,246.3,234.5,240.4,0.0,543.8,4000,COMMERCIAL SERVICES & SUPPLIES,CONTAINERS & PACKAGING,128000,Oversubscribed,32.0,32.0,34.0,160.0,300.0,266.6667,133.3333,366.6667,197.065,232.0388,0.0,543.8
Gabriel Pet Straps,248.0,138.8,115.0,120.8,SME,2024-02-07,8.1,101.0,38.9,349.0,116.1,232.6,13.9,145.5,1200,GENERAL INDUSTRIALS,FIBRES & PLASTICS,121200,Oversubscribed,101.0,101.0,0.00798,100.0,157.1429,1000.0,1010.5263,0.5,521.5556,1141.5,-20.0,145.5
Gopal Snacks,346.4,4316.9,351.0,362.7,MainBoard,2024-03-14,650.0,401.0,17.5,9.5,4.0,9.0,-12.5,-13.6,37,FMCG,PACKAGED FOODS,14097,Oversubscribed,381.0,401.0,162.0,442.4107,226.4274,429.4118,330.4813,432.7014,182.7106,148.2648,-60.0,-13.6
Greenhitech Ventures,101.1,47.5,95.0,99.8,SME,2024-04-22,6.3,50.0,38.9,893.2,566.1,729.7,90.0,102.2,3000,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING & DISTRIBUTION,150000,Oversubscribed,50.0,50.0,13.0,50.0,128.5714,140.0,280.0,200.0,-7.2366,4.9161,37.5,102.2
Grill Splendour Services,131.0,74.1,121.3,127.3,SME,2024-04-23,16.5,120.0,38.9,4.5,12.1,8.3,1.1,9.2,1200,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,144000,Oversubscribed,120.0,120.0,14.0,666.6667,2800.0,3600.0,3056.8182,2.0,690.4821,-51.5704,102.7273,9.2
HOAC Foods,213.7,92.8,147.0,139.7,SME,2024-05-24,5.5,48.0,38.9,1317.4,2350.6,1834.0,206.3,345.2,3000,FMCG,PACKAGED FOODS,144000,Oversubscribed,48.0,48.0,12.0,33.3333,200.0,366.6667,180.9249,500.0,15.5556,-5.9252,-70.0,345.2
HRH Next Services,39.5,52.1,41.0,43.0,SME,2024-01-03,9.6,36.0,38.9,63.7,60.3,62.0,13.9,9.6,3000,SOFTWARE & SERVICES,BPO/KPO,108000,Oversubscribed,36.0,36.0,27.0,100.0,368.75,1200.0,553.8462,1066.6667,313.6568,700.0,42.8571,9.6
Harshdeep Hortico,93.5,150.5,70.0,66.5,SME,2024-02-05,19.1,45.0,54.2,134.4,98.3,96.4,55.6,107.8,3000,FOOD BEVERAGES & TOBACCO,OTHER AGRICULTURAL PRODUCTS,126000,Oversubscribed,42.0,45.0,42.0,100.0,129.2308,266.6667,98.6486,288.8889,0.0,0.0,-18.1818,107.8
IBL Finance,64.5,159.5,56.0,58.8,SME,2024-01-16,33.4,51.0,38.9,9.6,22.8,16.2,9.8,26.5,2000,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),102000,Oversubscribed,51.0,51.0,65.0,-1012.5,471.4286,300.0,265.2223,2000.0,794.9458,398.7302,0.0,26.5
Indegene,552.0,13247.3,655.0,570.9,MainBoard,2024-05-13,1841.8,452.0,197.6,55.1,8.0,69.9,44.9,22.1,33,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,14190,Oversubscribed,430.0,452.0,407.0,138.4615,160.2865,98.2143,-55.8238,99.4753,-31.4754,-17.0756,0.4,22.1
Indian Emulsifiers,147.5,180.3,430.0,451.5,SME,2024-05-22,42.4,132.0,93.3,1039.5,643.9,427.9,225.8,11.7,1000,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,125000,Oversubscribed,125.0,132.0,32.0,103.4483,887.5,3.2,3837.5,3.9,157.765,166.678,-97.861,11.7
Interiors & More,510.0,356.8,270.0,283.5,SME,2024-02-23,42.0,227.0,1.9,40.8,10.5,10.8,18.9,124.7,600,CONSUMER DURABLES,HOUSEHOLD PRODUCTS,129600,Oversubscribed,216.0,227.0,19.0,115.873,800.0,1333.3333,260.6825,1400.0,979.1223,321.4434,-50.0,124.7
Italian Edibles,37.0,54.6,55.0,57.8,SME,2024-02-12,26.7,68.0,38.9,168.4,114.5,141.4,-19.1,-45.7,2000,FMCG,PACKAGED FOODS,136000,Oversubscribed,68.0,68.0,39.0,81.25,89.1892,200.0,136.9318,188.8889,100.4844,65.4288,-62.7907,-45.7
J G Chemicals,474.9,1860.8,209.0,184.8,MainBoard,2024-03-13,251.2,221.0,32.1,46.3,17.4,27.8,-5.4,114.9,67,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,14070,Oversubscribed,210.0,221.0,114.0,521.6216,75.1029,133.3333,9.3797,134.6154,-0.2431,22.4537,-57.1429,114.9
JNK,330.0,1846.5,621.0,694.5,MainBoard,2024-04-30,649.5,415.0,75.7,23.3,4.1,28.1,49.6,-20.5,36,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,14220,Oversubscribed,395.0,415.0,156.0,-154.5455,188.2353,186.2069,-15.8906,181.2121,-28.264,-15.142,50.0,-20.5
Jana Small Finance,452.2,4757.2,396.0,368.1,MainBoard,2024-02-14,570.0,414.0,38.8,25.1,5.5,18.5,-4.3,9.2,36,BANKING AND FINANCE,MICROFINANCE INSTITUTIONS,14148,Oversubscribed,393.0,414.0,138.0,-284.8204,105.0048,252.1739,187.8893,254.0802,7.9607,124.0642,-18.0,9.2
Jay Kailash Namkeen,59.5,29.7,85.0,80.8,SME,2024-04-08,11.9,73.0,2.3,54.6,51.0,38.0,16.4,-18.5,1600,FMCG,PACKAGED FOODS,112000,Oversubscribed,70.0,73.0,16.0,-200.0,1300.0,1700.0,459.2593,800.0,164.5937,57.2884,-56.25,-18.5
Juniper Hotels,307.7,6846.4,365.0,401.5,MainBoard,2024-02-28,1800.0,360.0,3.0,0.8,1.3,2.1,1.4,-14.5,40,HOTELS RESTAURANTS & TOURISM,HOTELS,13680,Oversubscribed,342.0,360.0,500.0,434.5149,1352.2523,98.8889,99.8083,99.1984,380.456,98.7709,77.1429,-14.5
Jyoti CNC Automation,1035.8,23556.5,370.0,434.2,MainBoard,2024-01-16,1000.0,331.0,44.1,36.5,26.2,38.5,11.8,212.9,45,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,14175,Oversubscribed,315.0,331.0,302.0,-73.0415,70.0,177.7778,135.6044,175.8794,358.0357,465.5378,628.5714,212.9
K2 Infragen,64.0,80.8,167.0,173.3,SME,2024-04-08,40.5,119.0,12.0,147.1,52.3,46.4,40.3,-46.2,1200,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,133200,Oversubscribed,111.0,119.0,34.0,67.7419,642.3077,4400.0,2210.7692,3666.6667,642.3817,245.0233,-89.6341,-46.2
KP Green Engineering,529.0,2645.0,200.0,210.0,SME,2024-03-22,189.5,144.0,31.9,36.0,20.1,27.5,38.9,267.4,1000,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,137000,Oversubscribed,137.0,144.0,132.0,500.0,285.7143,733.3333,164.6341,675.0,201.1337,279.4562,-61.5385,267.4
Kalahridhaan Trendz,7.8,13.3,47.1,49.5,SME,2024-02-23,22.5,45.0,38.9,6.5,9.8,8.2,4.8,-82.8,3000,TEXTILES APPARELS & ACCESSORIES,TEXTILES,135000,Oversubscribed,45.0,45.0,50.0,87.037,236.5854,550.0,334.9398,509.0909,76.5419,199.2671,-2.8571,-82.8
Kaushalya Logistics,77.0,142.7,100.0,105.0,SME,2024-01-08,36.6,75.0,51.3,1110.0,491.4,364.2,33.3,2.7,1600,TRANSPORTATION,WAREHOUSING & LOGISTICS,113600,Oversubscribed,71.0,75.0,49.0,3600.0,157.4074,137.5,-88.1551,136.6667,-3.0531,3.2185,13.6364,2.7
Konstelec Engineers,66.7,100.6,210.0,220.5,SME,2024-01-30,28.7,70.0,60.4,561.5,581.3,317.9,200.0,-4.8,2000,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,132000,Oversubscribed,66.0,70.0,41.0,-39.3939,157.377,300.0,180.1105,310.5263,127.6684,234.9333,20.0,-4.8
Koura Fine Jewelry,43.5,15.7,75.0,78.6,SME,2024-03-14,5.5,55.0,38.9,353.3,1010.3,681.8,36.4,-20.9,2000,TEXTILES APPARELS & ACCESSORIES,GEMS & JEWELLERY,110000,Oversubscribed,55.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.9
Kronox Lab Sciences,180.1,668.1,164.9,159.3,MainBoard,2024-06-10,130.2,136.0,89.0,303.0,55.7,118.2,21.3,32.4,110,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,14190,Oversubscribed,129.0,136.0,96.0,74.3363,53.2051,73.0769,11.6249,71.134,8.3861,2.5083,0.0,32.4
LE Travenues Tech,218.3,8524.1,138.1,165.7,MainBoard,2024-06-18,740.1,93.0,106.7,110.5,54.7,98.3,48.5,134.8,161,DIVERSIFIED CONSUMER SERVICES,TRAVEL SUPPORT SERVICES,14168,Oversubscribed,88.0,93.0,796.0,301.9737,637.7049,200.0,-16.036,200.0,51.3308,263.2768,100.0,134.8
Magenta Lifecare,14.5,9.9,45.0,47.3,SME,2024-06-12,7.0,35.0,38.9,1126.3,737.9,932.1,28.6,-58.6,4000,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING,140000,Oversubscribed,35.0,35.0,20.0,100.0,27.2727,33.3333,34.3284,50.0,65.2766,-65.3676,-86.9565,-58.6
Manoj Ceramic,157.0,234.0,82.0,77.9,SME,2024-01-03,14.5,62.0,38.9,7.0,10.2,8.6,32.3,153.2,2000,CONSUMER DURABLES,CERAMICS,124000,Oversubscribed,62.0,62.0,23.0,-2083.3333,72.4138,2300.0,2043.4783,3500.0,58.9404,2413.2353,-26.1538,153.2
Maxposure,60.0,136.4,145.0,137.8,SME,2024-01-23,20.3,33.0,83.4,2574.0,1363.1,904.9,339.4,81.8,4000,MEDIA,ADVERTISING & MEDIA,124000,Oversubscribed,31.0,33.0,61.0,136.8421,350.0,850.0,674.8603,1000.0,347.6293,935.7664,-50.0,81.8
Mayank Cattle Food,222.0,119.9,116.0,120.0,SME,2024-02-05,19.4,108.0,38.9,5.7,11.2,8.4,7.4,105.6,1200,FOOD BEVERAGES & TOBACCO,OTHER AGRICULTURAL PRODUCTS,129600,Oversubscribed,108.0,108.0,18.0,-25.0,59.5238,84.6154,10.5263,85.7143,34.2361,1.7693,-13.5417,105.6
Medi Assist Healthcare,530.5,3741.7,460.0,464.1,MainBoard,2024-01-23,1171.6,418.0,40.1,14.8,3.2,16.3,10.1,26.9,35,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,13895,Oversubscribed,397.0,418.0,280.0,222.541,135.2734,110.0,-77.387,111.7143,-7.7975,-7.8293,-18.1818,26.9
Medicamen Organics,43.7,51.1,137.8,144.7,SME,2024-06-28,10.5,34.0,90.9,1773.0,1729.8,916.8,305.4,28.5,4000,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,128000,Oversubscribed,32.0,34.0,31.0,-0.6,92.8571,700.0,810.4167,900.0,153.4341,756.3492,0.0,28.5
Megatherm Induction,324.0,610.4,198.0,207.9,SME,2024-02-05,53.9,108.0,55.8,408.5,266.3,182.4,83.3,200.0,1200,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,120000,Oversubscribed,100.0,108.0,50.0,84.2857,109.7015,362.5,85.8657,351.6129,85.0694,214.3182,-25.0,200.0
Mukka Proteins,29.2,874.8,40.0,42.3,MainBoard,2024-03-07,224.0,28.0,189.3,250.4,58.5,137.0,42.9,4.1,535,FOOD BEVERAGES & TOBACCO,OTHER FOOD & BEVERAGES,13910,Oversubscribed,26.0,28.0,800.0,-1006.6667,231.7857,400.0,228.5714,390.0,114.2792,118.1419,-29.1667,4.1
Naman In-Store,107.0,139.8,125.0,118.8,SME,2024-04-02,25.4,89.0,58.3,703.0,436.9,287.5,40.5,20.2,1600,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,134400,Oversubscribed,84.0,89.0,28.0,205.1282,1133.3333,3200.0,383.3333,4300.0,615.5556,925.6296,-64.9254,20.2
New Swan Multitech,74.9,142.5,125.4,131.7,SME,2024-01-18,33.1,66.0,110.7,544.8,388.2,356.9,90.0,13.5,2000,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,124000,Oversubscribed,62.0,66.0,50.0,242.0,88.9908,188.8889,186.4629,191.1765,56.677,57.9297,-53.5714,13.5
