company,ltp,market cap(in cr),listing open,listing close,issue type,listing date,issue size (in Cr),issue price (in rupee),qib subscription,hni subscription,retail subscription,total subscription,listing gain %,current gain %,lot size,sector,industry,minimum_investment_rupee,subscription_status,min_price_range,max_price_range,no_of_share,change_in_cffoa,change_in_ebitda,change_in_eps,change_in_net_profit,change_in_npm_percent,change_in_roce_percent,change_in_roe_percent,change_in_debt_to_equity_ratio,CAGR
Knowledge Marine Engg,750.3508530057384,4616.378658670267,116.9648222135694,222.46809151762182,SME,2023-10-11,181.7570430538833,247.08943903625982,32.24934222866172,-17.675163659588144,-11.784769446639126,150.87840695260047,-75.62547422606751,610.4806111532874,2978,COMMERCIAL SERVICES & SUPPLIES,OTHER FOOD & BEVERAGES,142909,Oversubscribed,96.21141485654911,47.230068793361454,4.8489699677901115,716.2911898791373,47147.578216085916,-53176.5064860095,-454.1313842124349,-6447.981691979038,98.0862483316638,780.2988795070697,81.39984333799924,-59.547241760234236
Paras Defence,-139.71702509028825,-59.09965463461083,82.73712808613534,155.8820655212348,SME,2022-12-15,1349.6018524745023,914.4096110495082,43.36702643710535,-8.34584524621285,43.15122240253834,17.45743653784058,27.95475543868704,1002.9090027541528,2479,TRANSPORTATION,IRON & STEEL PRODUCTS,148520,Undersubscribed,33.4537057513881,36.48558051621488,22.641342324504585,-268.64908890266315,41817.330512531764,3678.527537167193,105.69215864661115,56971.83132708991,242.92718113360996,943.8761126684255,4.67004149123013,-11.990413110521931
Stove Kraft,24.4766276213534,-1499.0799972027241,81.00191898874661,131.1386032719301,SME,2021-09-14,217.1907684944835,149.4749255051625,4.309771963643158,4.118261792582828,-3.4124485542807186,103.77468867604188,-0.6129460310841948,331.69761350416195,1227,DIVERSIFIED CONSUMER SERVICES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,119861,Oversubscribed,50.50678860286524,33.32757955826266,105.52852780900781,8.690085324215886,40207.48358100334,-15980.947394681036,-282.15738250747046,45883.33998047323,12.381243995425603,717.8090954460685,129.09232243830357,30.301176643856902
Synoptics Tech,172.4536346200714,4244.908535825289,84.61889774905183,102.59555153947952,SME,2019-07-15,884.5123717014637,61.37129038422467,2.1089491378761016,95.64457913433901,9.358996874119253,22.117445489210457,-3.300785150885557,717.6993429521956,1793,CONSUMER DURABLES,IT TRAINING SERVICES,125698,Oversubscribed,62.38336666947729,86.33927639957618,989.3806425675903,90.41590196178458,19769.838062126877,17369.659053433857,-60.05286817536067,44468.89623507251,263.4257514183552,649.1773247761752,3.051000907809076,44.72946971509195
Richa Info Systems,-162.61030130068553,-251.2045753981132,35.84058955570215,226.06182459577548,MainBoard,2022-05-17,88.93016555722485,130.1741053937135,40.91334371767216,174.23821478299118,135.58987327680975,30.69822780249977,-8.505414352943072,304.9142081645363,364,FOOD BEVERAGES & TOBACCO,WASTE MANAGEMENT,118492,Oversubscribed,487.27425125336504,320.2386336541633,-21.58177271033241,5.798111599187685,55765.8297320017,-6386.7011024830035,-363.3266508900943,17847.751746596572,37.35569648271858,989.3693204091902,37.51804863760718,-22.98726114726611
Samor Reality,66.40719458945544,874.7284716737979,144.59146285196348,589.36727270386,MainBoard,2023-12-18,3608.5608074322327,12.006072928820416,73.43409697185422,48.595621009564645,-8.24872959544696,16.772886366400154,70.0306686139161,227.1044026386419,2509,SOFTWARE & SERVICES,CEMENT & CEMENT PRODUCTS,144303,Oversubscribed,316.9029494687218,625.2069280743331,60.405012303768146,-453.24617759627006,30293.387307340705,-42390.168171013844,-57.31123631739179,11231.83814652443,3483.1816830400226,782.6531442921901,24.250241992165677,54.98746350602006
Karnika Industries,-56.78020088427381,1883.501995687012,16.149509042628495,79.91726099991187,SME,2023-09-22,107.21626578782269,264.87044122511907,41.994901425998954,-13.01464513131484,15.439458124685018,25.00549175240806,-11.379606044562081,289.3819613707451,21,SOFTWARE & SERVICES,MISC. COMMERCIAL SERVICES,136824,Oversubscribed,-5.565918563806839,730.0071960075563,-7.9140171551349425,473.08879758635436,25622.60896507252,-55344.843115622374,-200.55767624167578,38157.82336735128,189.49397439304505,108.06927081251402,-15.307517916957448,29.417336453541182
Silicon Rental Solutions,65.34563242396649,-583.4163998066113,186.60497759895281,513.7839443107553,SME,2020-01-13,104.3591829873711,1059.4813292080376,19.376338101761256,150.9549122382645,28.93161894063985,192.90043762183257,-9.531054429905627,595.0672803701918,2449,GENERAL INDUSTRIALS,BANKS,16396,Oversubscribed,70.94758193220702,373.5725314405288,43.23554603548706,153.25569003485026,3367.931913667098,13043.20636252273,189.04871827498272,26722.840145139842,34.64896474642304,29.709333860715013,36.28470476242716,52.21732788003162
Shri Venkatesh Refineries,-144.46805847933848,5509.274094135931,380.2355933758988,185.8160926824766,SME,2022-09-27,114.58676041838615,136.59656526392143,56.56256411839993,-32.979233262956654,-29.7098793936063,144.6563583147311,0.8798172742443235,250.33792532486802,691,GENERAL INDUSTRIALS,WAREHOUSING & LOGISTICS,23241,Oversubscribed,42.05533686276807,118.88714061849767,15.74246941046366,-353.9047103438606,65666.3552782607,-56598.34711030863,-657.244184529727,68751.0107017209,-181.6367037835815,833.6701090787341,134.08492184994233,23.590467810628432
Dodla Dairy,683.1197260169467,49.14017598817907,411.819232195858,813.3271006230987,SME,2023-11-20,623.1131587773917,128.02998432444264,101.58768795629126,234.85231375735057,4.149130069145638,480.95051872216374,-0.8958038355067117,40.72401750960167,562,DIVERSIFIED CONSUMER SERVICES,OTHER FINANCIAL SERVICES,137037,Oversubscribed,1776.601283398727,274.6549690787401,21.1804015002785,-170.0405577557316,18863.71365743939,-30916.588728506664,-364.4092968982542,30154.969481191034,78.27171631833599,348.48580260060476,81.30362754502696,89.57478842659528
Sheetal Universal,259.23838047925216,-941.5707847062708,4.014301438262976,179.30049788267647,MainBoard,2021-02-02,10.003698659719884,1328.909495892943,48.39856487800123,2.054322357768683,125.79066136256324,121.40540657861558,5.294108349593444,187.92288301464868,2262,UTILITIES,CONSTRUCTION & ENGINEERING,132382,Oversubscribed,262.95594960633184,602.6394972261153,88.92578518571523,-263.4694109333005,13757.989851386401,-32117.977194391413,-350.96518349170157,29267.35942081489,-106.89704750369185,832.4654803437446,-11.189259735702407,-9.507273621602074
Pearl Green Clubs,-8.84260897069845,2499.4700736867185,92.02811394433449,100.46605411007724,SME,2020-01-27,111.8573016965646,148.22978279253647,38.17992182661913,-17.903140249285432,-0.33180828704193743,15.01161187543007,-14.852194124167156,227.8196385999843,4792,CEMENT AND CONSTRUCTION,OTHER INDUSTRIAL PRODUCTS,140803,Oversubscribed,199.45790542341047,143.30744440770414,70.98301076250316,246.31632680882055,37867.20616449899,-57906.54905040432,-416.54244767183354,24184.64222438965,370.69430032156026,672.9823365218067,-11.295683466202092,-24.699338667618747
Madhusudan Masala,-157.52454026961095,4613.132657134501,51.27574834876355,239.22684890946442,MainBoard,2022-10-10,92.99168097574005,160.10427702039559,22.392536238820806,-35.32206983777687,4.446497051038814,25.75588834134982,10.369085805006065,451.98215389737913,3169,PHARMACEUTICALS & BIOTECHNOLOGY,MICROFINANCE INSTITUTIONS,137556,Oversubscribed,110.37995208107975,115.18478472242273,-12.30242866709834,-230.57041855610174,69626.65310872335,-11930.822265369865,-588.6516851823158,61289.93357143472,68.16271445454453,1475.8779037893653,113.6401003509011,-12.54492851859214
Net Avenue Tech,-102.74956004788949,1259.186204178966,-17.06189121368135,798.0095893723569,SME,2023-09-18,856.5138780624593,583.7434256224122,12.51182333051221,198.79334437206498,6.821909731036986,264.1900186507786,-0.07122795440893093,558.0170749072336,266,COMMERCIAL SERVICES & SUPPLIES,CONSTRUCTION & ENGINEERING,134206,Oversubscribed,840.7551732437852,200.0118693249853,42.231368170154894,-5.593089667067829,36398.76812902805,18673.226248812225,132.9655821584262,42208.568937189186,-58.798378161517384,775.1688814528744,-41.55868023556501,21.175096157357963
AGS Transact Tech,20.651880564011776,145.12443928860142,53.931567995748935,152.45288513030454,SME,2020-10-12,77.80506975234718,117.47247702201378,-5.921389637344898,14.59005723007617,-7.431257458359248,132.14041907014814,-9.777218278052779,936.0225487685645,4037,SOFTWARE & SERVICES,MEDICAL EQUIPMENT,156863,Oversubscribed,-2.4115513179101526,371.264353737681,64.76650564073795,-124.69505560866577,32263.48366289811,-57449.440774683506,-68.51413488498656,64238.27287254024,475.81650262694683,437.07918369102174,43.44795144047455,-33.216605050724844
Moxsh Overseas Educon,1059.8917342278285,719.3691970615403,63.79200384657912,79.60539041640492,SME,2022-03-24,1435.4059594239347,66.7217641679645,68.87648043805471,-5.806306931218766,-20.580952297787512,114.02486350323807,9.95166301232244,3916.769625465092,1379,FOOD BEVERAGES & TOBACCO,WAREHOUSING & LOGISTICS,138353,Oversubscribed,71.09499192330375,131.36830953648118,80.26939756265165,70.3579436282189,31229.776624437272,-61706.16179964407,245.41211772912357,57360.981913322066,-260.2881298946022,974.1955076537486,10.457821404177011,-51.719921251690415
Murae Organisor,398.5478841487982,11309.294410639564,264.21301386543854,612.7206132049625,SME,2022-12-29,203.6991848435371,1002.81016494965,177.60662090358713,-1.9330272499755354,94.65215134735486,16.07360359376068,15.291095890839083,20.76283859785507,6221,FMCG,HEALTHCARE SERVICES,28610,Oversubscribed,663.2804467262712,73.9296525269406,-4.536771226148026,23081.81525970127,17512.399578132816,6802.94166576618,-265.91670004225995,17315.55325797015,73.02654187869192,1248.133917562071,27.46560023323974,8.846337918627043
Nazara Technologies,1196.6285473448252,-781.4637866494752,138.86442343929514,131.14175477655908,SME,2022-06-01,228.27415674209198,63.32574352955739,46.54800876089781,4.617582214620095,-17.21758427795247,860.282095631997,33.87039800371912,241.78808788503287,3603,GENERAL INDUSTRIALS,FINANCE (INCLUDING NBFCS),158323,Oversubscribed,8.228327207254743,122.13453273343899,75.43753067944454,219.0859335766779,2974.897877821433,-53643.71853088422,138.8446528310593,44505.71128671849,2248.016088256006,541.551382809434,34.02608481748321,-48.56075480293968
Dollex Agrotech,-157.40310064646337,5123.694819308747,-36.43159452723681,128.26790138418295,SME,2023-03-01,153.85264634400156,374.2786527101254,35.10517589307556,-39.42476261866729,-6.2159964542460635,33.797845926400974,-14.514874367794715,218.38304496003641,4977,CEMENT AND CONSTRUCTION,WASTE MANAGEMENT,143637,Oversubscribed,137.00772493278808,671.2922077638424,7.986719038134513,250.34377299889331,41382.670243926084,-73383.07959637372,-239.28148389283984,65644.78130005657,371.8267341739888,1269.7340589481153,53.31482763709797,-39.39791984556013
Data Patterns,-143.3047071151595,5985.207874752218,68.14347756320727,410.2845683067816,MainBoard,2021-11-23,2352.2185808647355,143.01160571057198,39.147440882239685,114.36152764162821,1.1802692899549747,342.5343270560039,5.4372330543241425,363.7481767481874,4850,COMMERCIAL SERVICES & SUPPLIES,CONSTRUCTION & ENGINEERING,113195,Oversubscribed,39.58584957023126,403.45586298752903,11.203329736499807,31.08728044712495,30077.487712056372,-46349.13091364745,-276.72456288448853,59283.323105920375,168.21782538428633,671.1690462877368,58.55676314009893,-49.81599292554273
ITCONS E-Solutions,-17.445715066159508,2662.253417752084,4.424324712954757,192.1188812125045,SME,2023-10-18,117.02192182456078,143.6715696688708,34.78273692862364,-24.821418670075616,6.825194465618739,12.1668838193632,2.832395716898148,592.5647629817774,4717,COMMERCIAL SERVICES & SUPPLIES,PAPER & PAPER PRODUCTS,15077,Oversubscribed,137.42767803683967,102.95186368627137,12.382885980448094,-237.6492512171094,41551.38258565259,-28167.000433932044,191.32507917939898,57567.179594876645,39.200441250516086,-105.26596884868866,3.4779889642668493,-1.8833283505564662
SBC Exports,10.085957144390093,-1399.5235586372537,13.018778750694246,198.03399788517493,SME,2019-07-04,-18.14624802291645,101.97650664392117,0.3825068171568855,-61.24429518637295,-6.552333263788633,125.14290338466233,-5.059223627297779,289.9585853313479,1026,COMMERCIAL SERVICES & SUPPLIES,IT CONSULTING & SOFTWARE,26894,Oversubscribed,63.983336496502446,146.27454744617444,16.85265574711814,-245.19815028963774,66144.68006957162,-35233.70647111286,183.4104377480691,53172.975286730005,412.79878448778527,447.3524661457542,22.989668164619005,55.81555722087391
Precision Metaliks,-209.66185557547055,297.4915042521516,33.83421841866461,91.68404770530768,SME,2021-10-01,-8.897649529155633,141.5183486096612,1.9728003265102778,-9.773518920491,-1.7938889718223052,146.2150927073989,-16.906744816423128,382.0367920472628,-321,TEXTILES APPARELS & ACCESSORIES,OTHER FOOD & BEVERAGES,116732,Oversubscribed,137.24259359254873,-9.170642082302244,33.3904831240097,-27.856309760112318,69912.29091076953,16712.315944046226,-240.4071314228637,55572.59037071609,151.7576143759834,1168.3239482032677,-116.6024406608847,-0.548481792842185
Srivari Spices & Foods,-149.72173661517263,3759.1662173125414,-4.3794250733624125,173.82420676993092,SME,2023-12-15,138.25192669785028,78.12931920191367,-4.303622416956749,-27.645890129338813,-14.56591612868259,15.002114894384835,-16.06880628471869,596.6043654206569,680,CONSUMER DURABLES,PACKAGED FOODS,164120,Oversubscribed,102.19354382494124,174.45621947829363,-24.4562298000585,216.1691015591574,49144.309519812465,-58318.02094197415,-529.4923966081105,44455.775829289385,-25.658471208214074,1082.9823115675295,41.140716229091105,-55.90643495422523
Manoj Vaibhav Gems N,-107.76730749219455,4330.763051128034,403.2988064939301,113.4940033007351,SME,2019-03-28,79.6721501563993,355.0449171838701,41.081081231572334,-29.27677438479829,4.6751998020193195,33.893532103958016,21.08576856731028,838.7049392574752,315,COMMERCIAL SERVICES & SUPPLIES,CONSTRUCTION & ENGINEERING,143908,Oversubscribed,116.36830189976098,62.66914699874661,-31.111233354265913,-224.70370726167442,30063.31465243442,-14780.03896051168,-168.79770778231972,43995.402170730784,251.70059268701047,1205.970017171296,20.650485119224733,27.508121065519
Shriram Properties,1362.0607704937913,1472.9545628013116,13.181191772584377,61.57608385327309,SME,2020-10-15,102.33698396191699,296.4093465395473,-2.639483495243807,-30.566694136828747,-22.78253081796295,28.916450884993022,-13.867951519252571,219.8717287715373,779,CEMENT AND CONSTRUCTION,CONTAINERS & PACKAGING,31890,Oversubscribed,88.82222227782091,71.71975871515201,72.06289712983515,204.48737530552543,52286.33446856625,-56926.770948101184,-609.2371385070371,36365.11864787068,145.96234704037198,177.77170547928205,66.19592283439172,20.483494104095975
Sotac Pharma,2151.9008606548605,-7505.2667488759525,53.939654218276594,227.23119222776148,SME,2022-07-13,-17.30244186584319,120.22504622627713,-3.8637193474041496,179.7332154017484,-18.578161779998943,103.48625526091004,-10.02421452464386,289.69897453516563,8292,HOTELS RESTAURANTS & TOURISM,ADVERTISING & MEDIA,19809,Oversubscribed,76.16670445816743,609.0055105801528,-12.173648123326238,-768.1361659060003,40814.538631488416,-34654.197809010744,115.58771617799948,39924.33829133618,-98.73843152345094,1154.0224397409827,31.856294149697128,-5.652818169317502
Aeroflex Industries,-138.27569061847646,-434.37132213185237,-43.481918360285974,473.98717252267244,SME,2021-07-05,156.4947075860297,62.268931198747374,35.52074144524147,4.062941098642664,-7.783201117914842,150.41771810751197,-1.7741601687156274,266.1345419146014,156,COMMERCIAL SERVICES & SUPPLIES,SPECIALTY RETAIL,138189,Oversubscribed,74.1424641525111,1850.5385731647057,25.225555213709406,556.879815228004,32719.122888880454,-50861.98351346549,-709.8311499049926,55615.64793426878,-195.56311090880646,940.8749614947495,116.84620403224159,-41.645990351951504
Anand Rathi Wealth,-146.62824119902865,1842.0811531459753,23.691478797905155,189.70149322211086,SME,2022-04-07,28.025520255407194,422.5553708293932,36.42705945806955,-26.920979522940396,13.54644071841971,138.8159026863145,-52.911603976280816,200.02184264915877,2238,MEDIA,HOUSEHOLD APPLIANCES,145418,Oversubscribed,341.4474856316125,110.83804070754951,3.701465871165574,-34.337686366570445,15974.454914385475,-40024.071309732215,-47.496350284205434,50922.725981694595,48.27001672569737,908.9634785477851,-27.62675514902227,-39.31245528621079
Ritco Logistics,999.0889773263916,108065.94386869422,442.8734645771481,163.479999827138,MainBoard,2019-02-06,57.26049744601859,100.95056345252763,36.0712802932281,7.304084518100541,3.574344339237234,8.369015003144085,-2.17109881169391,264.0250784746221,1975,CHEMICALS & PETROCHEMICALS,IT SOFTWARE PRODUCTS,127171,Oversubscribed,827.0721577592377,770.112247703492,215.1244981509725,-8317.90088676573,31499.137767220258,-11541.714204305335,-206.60613431934354,29942.879443486767,1710.4870948495259,515.5519687346664,12.763106206389125,-11.182304703879545
Ratnaveer Precision,-10.96542120669966,2965.0575412350754,87.8196392801273,1077.4087359966443,SME,2023-07-26,280.82802331605996,151.0619249681822,36.624918268718055,-51.229074741939144,-11.627209568118785,67.44096640536534,1.2131536641391278,208.94716271695987,2458,UTILITIES,ADVERTISING & MEDIA,10792,Oversubscribed,115.08991934199378,134.27262417470698,149.11960981276863,-47.54132633248798,43001.296623848786,-55119.07932254609,-675.3570871007075,72385.840799581,126.7489020129193,596.3650690839387,95.1904551850503,24.746021467509856
Exhicon Events Media,-60.36767484582727,3010.3178028883176,122.13284049557456,209.54805070384703,SME,2022-03-30,904.2578385832257,38.338061902614214,36.44602716242787,-1.325838336996072,-11.819367164771192,27.527357759601433,0.1944855417082394,1678.012841297584,3310,DIVERSIFIED CONSUMER SERVICES,SPECIALTY CHEMICALS,120809,Oversubscribed,60.882088119624726,28.005197744430667,0.4463231443967004,-129.6304615378234,27960.98584090316,-34505.82950373691,-341.1102270232911,51454.29488563206,-34.829284252717905,681.233607583271,151.35872067584637,-48.69234051194982
Adishakti Loha & Ispat,123.72900563998381,934.3779742578106,561.8586876540844,2370.8636370140375,SME,2023-07-10,269.01504063501693,440.7109048059773,76.97809529555579,-37.26713994692015,-5.451658789713326,30.128433500943633,-10.387395601813072,313.29755420555375,3526,TEXTILES APPARELS & ACCESSORIES,IT CONSULTING & SOFTWARE,132923,Oversubscribed,122.92750288657456,116.95131920988857,60.47205353926233,-378.57006717655645,59092.067950857956,-43739.53475596526,-227.49254316695652,20565.573773420303,237.84610084440322,1155.056832722844,48.40062676708255,8.582881385709147
Radiant Cash Mgmt,-122.21568664216035,4311.205934118686,918.0986240181525,251.2178948295312,MainBoard,2019-04-05,895.2606380144199,1592.9729968281217,54.30752354321368,6.357951140777862,-19.90199266880048,12.978939148388509,-12.426799258991833,997.8071317760918,756,CHEMICALS & PETROCHEMICALS,IT CONSULTING & SOFTWARE,159809,Oversubscribed,55.74540951122237,130.26030955325925,-26.020189385150715,-132.16442185777464,53113.929810290436,-52537.75626279611,-483.4090990105524,42637.363648071114,427.99066452284893,197.0898043853207,94.41421869174076,-2.3185319437337677
Indong Tea Company,14.917372328544872,-1401.538157976669,70.43246157882865,610.6681746500847,MainBoard,2020-01-06,1124.0051812240858,127.63937729816693,14.403729311528425,-11.93605052241071,-6.051398439380314,143.76125710811982,9.82544172119443,280.8912679949367,3699,CEMENT AND CONSTRUCTION,CONSULTING SERVICES,132869,Oversubscribed,105.99196279713077,490.8226370941743,19.185052059816588,-23.21642654832008,11535.441004826163,-63115.22174026242,-438.11438316779197,55682.5624675452,75.30138751285484,769.6744443656888,-0.6772721153942438,21.79842985513254
Cool Caps Industries,50.18285053377376,2808.34080675523,157.5661526801478,192.02857895535323,MainBoard,2019-02-07,115.45171863900798,164.28158331000338,37.252114965846076,-8.906773108407798,-2.0020986629233715,137.92846516947725,-55.14741993739513,141.4100138713121,2481,PHARMACEUTICALS & BIOTECHNOLOGY,COMMODITY TRADING & DISTRIBUTION,130829,Oversubscribed,4.151776587079816,70.40481431232335,111.89125354677537,-215.13141774229746,35699.55396757878,-41052.96923489107,-481.0032557458568,57344.74025158558,374.3897847294467,1401.8423084406709,6.133347503157452,-39.08662838655137
Keystone Realtors,-230.1578493564877,-507.33644345726066,56.76523514083377,352.6929462662457,SME,2019-10-16,129.00072998549672,552.9940822428723,41.45316484311812,-21.036927857214156,-11.347065106299572,147.52658772506604,12.4364784030213,-27.886048713502696,2240,PHARMACEUTICALS & BIOTECHNOLOGY,MISC. COMMERCIAL SERVICES,35815,Oversubscribed,155.14808134554445,165.73355452856558,-22.987278208662097,379.62024655985454,62282.4072445175,-35336.44609327928,-627.2584515117911,48622.62006224821,-166.69796891567853,803.0287155820688,34.324164665078285,-52.76257739886436
Deepak Chemtex,137.69181991183558,3104.4191086021337,422.5547153090949,284.63173261049053,MainBoard,2021-09-30,253.20518663269164,601.8102160439311,35.99497072363201,160.48128906984135,67.50130312366942,117.9191585824156,7.5823662406785335,875.1388929471121,369,GENERAL INDUSTRIALS,WASTE MANAGEMENT,124249,Oversubscribed,102.38236774466839,148.47399724683325,-21.837182159605632,-175.0399670389083,44905.259639708514,-34654.60083029051,-517.4064697305847,12662.491088889456,430.2609954285427,-235.38372945596356,70.16275857397372,-17.57185647349325
IRM Energy,1047.1903240816068,1314.1914406406186,96.01082285061702,240.799461981994,SME,2019-02-07,2878.438081618301,309.2937363099959,35.870498016069924,13.70272970842339,5.208544387429805,119.31658664914436,14.795582573946643,263.5067890574684,8976,PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRIAL MACHINERY,10536,Oversubscribed,67.46421920712973,52.941745596124164,7.05287398361563,-217.71013241611683,18154.047663065427,-22365.853091627203,-389.5102040461927,17951.13465413039,-78.8141127797306,910.0032713281597,121.28442599380983,-16.572944803755597
Sahaj Fashions,-125.64235077721192,864.4064751029257,89.34555377916435,170.0372141083031,SME,2022-10-13,14.572514296067443,132.67454347136294,38.43103974549546,-14.95780951018791,-30.644519529908266,102.40423037675765,-10.841742769434724,287.4894003837416,149,TEXTILES APPARELS & ACCESSORIES,MOVIES & ENTERTAINMENT,139377,Oversubscribed,39.254574239987846,54.669930692413885,61.6438112293086,74.25528444644593,45248.479489201396,-19156.227557763526,-853.8462604093138,62234.61206346919,-15.262746147737225,1130.5300005426222,-39.954117816170005,-0.5437854343301178
