,Company,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain,Issue type
12,Suratwwala Business Group,44.0,763.0,13 Aug `20,6.9 Cr,₹ 15,-,2.4x,0.3x,1.3x,15.4,16.2,3.0%,2833.3%,SME
13,Mindspace REIT,419.0,24847.5,12 Aug `20,4500.0 Cr,₹ 275,-,10.6x,15.5x,13.0x,302.0,303.7,9.8%,52.4%,SME
14,Bonlon Industries,39.5,56.0,11 Jul `20,10.5 Cr,₹ 28,-,2.5x,0.2x,1.4x,21.0,21.5,-25.0%,41.0%,SME
15,Ksolves,334.0,792.0,06 Jul `20,4.0 Cr,₹ 100,-,2.2x,0.6x,1.4x,102.0,106.9,1.9%,5244.0%,SME
16,Billwin Industries,31.1,13.0,30 Jun `20,2.5 Cr,₹ 37,-,2.1x,0.6x,1.4x,36.9,37.1,-0.3%,-15.9%,SME
17,Nirmitee Robotics,102.2,36.8,21 Apr `20,3.2 Cr,₹ 185,-,1.7x,0.6x,1.1x,189.0,189.0,2.2%,-44.8%,SME
18,Laxmi Goldorna House,821.0,1713.6,16 Apr `20,8.3 Cr,₹ 15,-,2.2x,0.2x,1.2x,15.0,15.0,0.0%,5373.3%,SME
19,DJ Mediaprint & Logistics,114.0,374.7,13 Apr `20,2.4 Cr,₹ 20,-,1.9x,1.7x,1.8x,20.6,20.8,3.0%,3321.9%,SME
20,Cospower Engineering,669.0,112.0,30 Mar `20,2.0 Cr,₹ 51,-,2.4x,0.7x,1.5x,51.0,53.1,0.0%,1211.8%,SME
21,RO Jewels,2.3,11.7,25 Mar `20,4.9 Cr,₹ 36,-,1.9x,0.4x,1.2x,36.0,36.0,0.0%,14.8%,SME
22,SM Auto Stamping,31.6,43.2,16 Mar `20,6.9 Cr,₹ 18,-,2.2x,0.5x,1.3x,18.0,18.0,0.0%,75.3%,SME
23,Chandra Bhagat Pharma,58.0,43.7,14 Feb `20,10.2 Cr,₹ 51,-,1.9x,1.4x,1.6x,51.7,51.8,1.4%,13.6%,SME
24,ICL Organic Dairy ,39.7,23.8,14 Feb `20,4.1 Cr,₹ 20,-,3.6x,2.6x,3.1x,20.8,21.8,4.0%,98.5%,SME
25,Janus Corporation,4.7,11.8,07 Feb `20,8.0 Cr,₹ 50,-,1.0x,1.5x,1.3x,50.7,48.5,1.4%,-78.0%,SME
26,Tranway Technologies,7.1,7.6,06 Feb `20,4.2 Cr,₹ 10,-,1.1x,2.9x,2.0x,11.1,11.7,11.0%,-28.7%,SME
27,Hindprakash Industries,143.6,164.1,27 Jan `20,11.5 Cr,₹ 40,-,3.0x,1.4x,2.2x,40.7,41.3,1.8%,259.0%,SME
28,Gian Life Care,16.4,16.9,13 Jan `20,3.1 Cr,₹ 22,-,1.9x,0.8x,1.3x,22.0,22.0,0.0%,-25.7%,SME
29,Vaxtex Cotfab,1.1,21.1,13 Jan `20,3.8 Cr,₹ 24,-,1.8x,4.0x,2.9x,24.1,24.8,0.4%,-20.1%,SME
30,Valencia Nutrition,65.5,111.2,06 Jan `20,7.2 Cr,₹ 46,-,2.5x,0.6x,1.6x,46.5,47.0,1.0%,42.4%,SME
0,Vivo Collaboration ,64.0,12.9,31 Dec `21,4.4 Cr,₹ 82,-,292.9x,273.1x,283.0x,355.1,337.4,333.1%,-21.9%,SME
1,Brandbucket Media,4.9,11.4,31 Dec `21,8.3 Cr,₹ 55,-,2.1x,1.0x,1.6x,51.0,52.5,-7.3%,-91.1%,SME
2,Wherrelz IT Solutions,230.8,9.0,29 Dec `21,2.0 Cr,₹ 171,-,1.6x,2.9x,2.3x,179.9,177.2,5.2%,35.0%,SME
3,Clara Industries,40.0,82.7,29 Dec `21,3.0 Cr,₹ 43,-,1.5x,1.6x,1.5x,45.7,44.0,6.3%,365.1%,SME
4,Foce,1980.0,968.8,28 Dec `21,29.0 Cr,₹ 225,-,1.3x,1.8x,1.6x,225.0,225.7,0.0%,780.0%,SME
5,Euro Panel Products,200.0,490.0,24 Dec `21,45.5 Cr,₹ 70,-,1.7x,1.9x,1.8x,70.0,71.4,0.0%,185.7%,SME
6,Nupur Recyclers,76.0,524.9,24 Dec `21,34.2 Cr,₹ 60,-,53.1x,34.2x,43.7x,74.0,77.7,23.3%,318.0%,SME
7,DMR Hydroengineering,164.1,65.4,07 Dec `21,2.1 Cr,₹ 21,-,8.5x,14.3x,11.4x,25.0,26.3,19.1%,681.2%,SME
8,Omnipotent Industries,8.9,5.4,29 Nov `21,18.9 Cr,₹ 63,-,1.0x,1.3x,1.2x,99.0,94.0,57.1%,-85.8%,SME
9,Suyog Gurbaxani Funicular,126.0,313.4,16 Nov `21,29.5 Cr,₹ 45,-,2.0x,0.6x,1.3x,45.1,45.1,0.3%,180.1%,SME
10,Nidan Laboratories,19.0,26.4,12 Nov `21,50.0 Cr,₹ 125,-,0.1x,3.4x,1.8x,123.9,117.8,-0.9%,-84.8%,SME
11,Kotyark Industries,227.8,234.2,02 Nov `21,11.3 Cr,₹ 51,-,3.6x,10.7x,7.2x,51.0,48.5,0.0%,346.7%,SME
12,Dynamic Services ,140.6,313.8,13 Oct `21,24.1 Cr,₹ 51,-,2.3x,1.6x,1.9x,53.0,53.5,3.9%,175.7%,SME
13,Destiny Logistics & Infra,116.3,179.0,13 Oct `21,5.4 Cr,₹ 20,-,2.1x,7.4x,4.8x,20.7,19.7,3.5%,481.5%,SME
14,Samor Reality,65.8,148.8,13 Oct `21,8.1 Cr,₹ 62,-,2.5x,0.9x,1.7x,62.6,62.5,1.0%,6.2%,SME
15,CWD,1480.0,534.5,13 Oct `21,18.0 Cr,₹ 180,-,1.9x,0.7x,1.3x,180.2,180.6,0.1%,722.2%,SME
16,Adishakti Loha & Ispat,13.5,6.1,13 Oct `21,2.0 Cr,₹ 11,-,2.9x,1.8x,0.8x,6.4,11.4,-41.8%,22.6%,SME
17,Bombay Metrics Supply ,48.1,59.3,12 Oct `21,4.3 Cr,₹ 93,-,16.3x,20.7x,18.5x,98.3,103.2,5.7%,314.0%,SME
18,Promax Power,29.7,74.3,12 Oct `21,1.6 Cr,₹ 10,-,2.4x,11.4x,6.9x,13.3,11.6,33.5%,494.0%,SME
19,Shri Venkatesh Refineries,241.0,533.1,11 Oct `21,11.7 Cr,₹ 40,-,2.4x,3.8x,3.1x,43.9,42.1,9.8%,1105.0%,SME
20,Jainam Ferro Alloys ,240.0,281.1,08 Oct `21,19.6 Cr,₹ 70,-,6.2x,7.1x,6.7x,73.0,73.1,4.3%,242.9%,SME
21,Getalong Enterprises,13.2,26.4,08 Oct `21,5.2 Cr,₹ 69,-,2.1x,2.1x,2.1x,72.2,76.7,4.6%,91.5%,SME
22,Quadpro ITeS,3.5,17.4,30 Sep `21,14.1 Cr,₹ 20,-,8.7x,23.5x,16.1x,19.8,19.9,-1.0%,-65.5%,SME
23,SBL Infratech,40.6,3.3,28 Sep `21,2.4 Cr,₹ 111,-,0.8x,2.4x,1.6x,130.0,125.0,17.1%,-63.4%,SME
24,Prevest Denpro,550.6,660.9,27 Sep `21,26.6 Cr,₹ 84,5.8x,79.0x,32.9x,38.1x,180.6,189.6,114.9%,555.5%,SME
25,Markolines Pavement,130.0,286.1,27 Sep `21,40.0 Cr,₹ 78,-,2.8x,1.6x,2.2x,62.2,65.3,-20.3%,66.7%,SME
26,BEW Engineering,168.1,219.7,16 Sep `21,4.0 Cr,₹ 58,-,0.6x,6.7x,3.6x,127.6,133.9,120.0%,1059.0%,SME
27,PlatinumOne Business,149.0,23.6,16 Sep `21,3.9 Cr,₹ 92,-,3.3x,2.6x,3.0x,110.0,104.9,19.6%,62.0%,SME
28,Naapbooks,144.9,130.7,15 Sep `21,4.0 Cr,₹ 74,4.0x,0.6x,2.5x,1.6x,73.9,74.0,-0.1%,487.4%,SME
29,Aashka Hospitals,95.2,222.8,01 Sep `21,101.6 Cr,₹ 121,-,2.0x,0.8x,1.3x,76.5,115.0,-36.8%,-21.3%,SME
30,DU Digital Global,43.6,304.6,26 Aug `21,4.5 Cr,₹ 65,-,6.7x,39.3x,23.0x,60.0,63.0,-7.7%,1243.1%,SME
31,Rex Pipes and Cables,148.0,139.9,10 Aug `21,6.2 Cr,₹ 26,-,6.8x,41.1x,24.0x,26.7,26.8,2.7%,469.2%,SME
32,Network People,1847.4,3583.1,10 Aug `21,13.7 Cr,₹ 80,1.1x,10.4x,50.7x,22.4x,28.0,26.6,-65.0%,2209.3%,SME
33,Gretex Corporate,298.9,676.8,09 Aug `21,5.1 Cr,₹ 170,-,2.4x,12.2x,7.3x,177.0,180.6,4.1%,2907.6%,SME
34,AA Plus Tradelink,0.9,21.4,22 Jul `21,6.5 Cr,₹ 18,-,0.3x,2.6x,1.5x,16.6,17.5,-7.5%,-51.1%,SME
35,Focus Business ,94.9,69.1,13 Jul `21,1.2 Cr,₹ 19,-,3.2x,10.1x,6.7x,29.4,27.9,54.5%,1321.3%,SME
36,Walpar Nutritions,51.0,47.9,13 Jul `21,6.6 Cr,₹ 55,-,1.0x,17.9x,9.5x,60.0,57.0,9.0%,85.5%,SME
37,Times Green Energy,67.5,11.2,30 Jun `21,4.0 Cr,₹ 61,-,0.8x,5.0x,2.9x,61.4,61.6,0.7%,10.7%,SME
38,Adeshwar Meditex,18.0,26.0,28 Jun `21,9.8 Cr,₹ 25,-,1.5x,2.2x,1.9x,25.3,25.1,1.0%,-28.0%,SME
39,Navoday Enterprises,5.7,4.4,24 Jun `21,4.6 Cr,₹ 20,-,0.3x,4.4x,2.4x,19.5,18.6,-2.5%,-43.1%,SME
40,Abhishek Integrations,59.6,35.9,21 Jun `21,5.0 Cr,₹ 50,-,0.5x,20.5x,10.5x,40.0,38.0,-20.0%,19.2%,SME
41,Kuberan Global Edu ,36.9,7.8,05 May `21,1.1 Cr,₹ 20,-,1.4x,5.2x,3.3x,21.0,22.1,5.0%,84.5%,SME
42,Jetmall Spices,19.1,11.4,19 Apr `21,5.0 Cr,₹ 20,-,1.9x,0.8x,1.4x,20.5,19.5,2.5%,-4.5%,SME
43,Rajeshwari Cans,149.3,156.6,15 Apr `21,4.0 Cr,₹ 20,-,1.6x,1.2x,1.4x,20.8,20.0,3.8%,1392.5%,SME
44,V-Marc,458.7,1120.2,09 Apr `21,23.4 Cr,₹ 39,-,1.4x,1.8x,1.6x,46.5,47.1,19.2%,1076.2%,SME
45,Siddhika Coatings,199.5,123.3,07 Apr `21,4.7 Cr,₹ 57,-,2.3x,2.9x,2.6x,55.0,57.0,-3.5%,600.0%,SME
46,EKI Energy Services,128.6,355.0,07 Apr `21,18.6 Cr,₹ 102,1.0x,10.3x,3.1x,4.0x,140.0,147.0,37.3%,26.1%,SME
47,Niks Technology,470.4,23.5,31 Mar `21,2.0 Cr,₹ 201,-,1.0x,7.2x,4.1x,202.1,203.0,0.6%,134.0%,SME
48,Knowledge Marine Engg,1726.0,1864.3,22 Mar `21,10.1 Cr,₹ 37,-,2.1x,3.6x,2.9x,38.0,38.3,2.7%,4564.9%,SME
49,Adjia Technologies,46.5,4.1,15 Mar `21,2.0 Cr,₹ 74,-,0.9x,5.2x,6.0x,64.1,74.3,-13.4%,-37.1%,SME
50,Pavna Industries,407.9,569.1,09 Mar `21,29.7 Cr,₹ 165,-,-,-,-,165.6,165.5,0.4%,147.2%,SME
51,Party Cruisers,74.0,88.3,05 Mar `21,7.8 Cr,₹ 51,-,0.3x,2.3x,1.3x,54.0,51.3,5.9%,190.2%,SME
52,MRP Agro,108.0,120.0,18 Feb `21,3.2 Cr,₹ 40,-,2.7x,4.2x,3.2x,39.8,37.8,-0.6%,710.2%,SME
0,Moxsh Overseas Educon,39.6,35.5,30 Dec `22,10.4 Cr,₹ 153,-,93.1x,107.6x,100.4x,131.0,127.8,-14.4%,3.5%,SME
1,Uma Converter,25.9,52.6,29 Dec `22,18.4 Cr,₹ 33,-,15.5x,17.7x,16.6x,34.3,33.1,3.8%,-21.4%,SME
2,Arihant Academy,275.0,166.5,29 Dec `22,14.7 Cr,₹ 90,-,242.9x,228.6x,235.7x,120.1,126.1,33.4%,205.6%,SME
3,Dollex Agrotech,42.1,168.4,28 Dec `22,24.4 Cr,₹ 35,-,1.5x,2.3x,1.9x,30.0,31.5,-14.3%,20.4%,SME
4,Droneacharya Aerial,79.2,190.0,23 Dec `22,34.0 Cr,₹ 54,46.2x,287.8x,330.8x,243.7x,102.0,107.1,88.9%,46.7%,SME
5,All e Technologies,350.9,708.7,21 Dec `22,48.2 Cr,₹ 90,13.5x,237.1x,132.5x,88.7x,125.0,131.3,38.9%,289.9%,SME
6,PNGS Gargi Jewellery,866.0,897.0,20 Dec `22,7.8 Cr,₹ 30,-,213.2x,248.3x,230.7x,57.0,59.9,90.0%,2786.7%,SME
7,Arham Technologies,81.5,138.0,15 Dec `22,9.6 Cr,₹ 42,-,467.9x,442.8x,417.6x,60.0,63.0,42.9%,94.2%,SME
8,Pritika Engineering,89.5,235.8,08 Dec `22,9.4 Cr,₹ 29,-,144.3x,168.5x,156.4x,42.2,44.3,45.5%,516.9%,SME
9,Baheti Recycling ,588.9,610.5,08 Dec `22,12.4 Cr,₹ 45,-,259.2x,435.6x,347.5x,120.0,114.0,166.7%,1208.6%,SME
10,Ambo Agritec,78.9,89.1,02 Dec `22,10.2 Cr,₹ 30,-,323.5x,350.0x,336.8x,40.1,42.1,33.7%,162.9%,SME
11,Anuroop Packaging,20.8,23.0,21 Nov `22,2.6 Cr,₹ 13,-,3.8x,7.0x,5.4x,13.3,13.9,1.9%,60.1%,SME
12,Technopack Polymers,23.5,25.4,16 Nov `22,7.9 Cr,₹ 55,-,19.8x,19.8x,19.8x,74.0,77.7,34.5%,-14.6%,SME
13,Amiable Logistic,79.0,13.8,16 Nov `22,4.4 Cr,₹ 81,-,186.0x,281.7x,233.8x,129.9,136.4,60.4%,-2.5%,SME
14,Vital Chemtech,56.1,134.5,14 Nov `22,64.6 Cr,₹ 101,15.5x,204.1x,117.0x,79.3x,164.0,163.1,62.4%,-44.4%,SME
15,DAPS Advertising,22.8,11.8,14 Nov `22,5.1 Cr,₹ 30,-,83.2x,48.5x,65.8x,57.0,55.1,90.0%,-24.0%,SME
16,Integrated Personnel,280.0,241.0,11 Nov `22,12.7 Cr,₹ 59,-,14.7x,24.5x,19.6x,66.5,69.8,12.7%,374.6%,SME
17,Rite Zone Chemcon,29.1,12.3,11 Nov `22,9.0 Cr,₹ 75,-,2.4x,7.1x,4.7x,82.8,87.0,10.5%,-61.3%,SME
18,Phantom Digital ,310.1,424.1,21 Oct `22,29.1 Cr,₹ 95,14.8x,554.8x,207.0x,164.2x,300.0,312.7,215.8%,226.4%,SME
19,Pace E-Commerce,22.5,50.8,20 Oct `22,66.5 Cr,₹ 103,-,1.7x,0.6x,1.1x,104.5,109.7,1.5%,-78.1%,SME
20,Maagh Advertising,25.4,572.0,13 Oct `22,9.1 Cr,₹ 60,-,0.2x,0.3x,0.3x,62.3,65.4,3.8%,429.6%,SME
21,Frog Cellsat,241.0,374.2,13 Oct `22,41.6 Cr,₹ 102,5.4x,70.9x,22.1x,21.1x,177.0,185.8,73.5%,136.3%,SME
22,Swastik Pipe,31.4,72.8,12 Oct `22,62.5 Cr,₹ 100,-,1.4x,1.3x,1.4x,66.0,69.3,-34.0%,-68.7%,SME
23,QMS Medical Allied ,80.0,142.8,11 Oct `22,56.9 Cr,₹ 121,-,1.3x,0.5x,0.9x,128.0,134.4,5.8%,-33.9%,SME
24,Lloyds Luxuries,90.0,214.8,11 Oct `22,24.0 Cr,₹ 40,-,11.6x,1.8x,6.7x,45.1,42.9,12.9%,125.0%,SME
25,Insolation Energy,235.1,5179.2,10 Oct `22,22.2 Cr,₹ 36,-,150.0x,235.4x,192.7x,76.1,79.9,111.4%,6429.2%,SME
26,Steelman Telecom,130.3,126.1,10 Oct `22,26.0 Cr,₹ 96,7.8x,70.1x,22.8x,22.4x,161.0,169.1,67.7%,35.7%,SME
27,Trident Lifeline,270.1,310.5,10 Oct `22,35.3 Cr,₹ 101,-,1.7x,1.0x,1.3x,105.0,108.2,4.0%,167.4%,SME
28,Cyber Media Research,81.3,23.8,10 Oct `22,14.0 Cr,₹ 171,6.3x,62.6x,27.8x,22.3x,245.3,257.5,43.4%,-52.5%,SME
29,Concord Control ,1775.0,1061.8,10 Oct `22,8.3 Cr,₹ 53,15.2x,307.4x,423.7x,202.2x,110.0,115.4,107.5%,3249.1%,SME
30,Cargotrans Maritime,95.1,44.5,10 Oct `22,4.9 Cr,₹ 45,-,129.6x,166.6x,148.1x,70.0,73.5,55.6%,111.3%,SME
31,Reetech International,36.1,15.3,10 Oct `22,11.7 Cr,₹ 105,-,1.4x,1.9x,1.7x,82.0,83.6,-21.9%,-65.6%,SME
32,Silicon Rental Solutions,175.0,199.8,10 Oct `22,21.1 Cr,₹ 78,-,2.9x,2.9x,2.9x,80.0,84.0,2.6%,124.4%,SME
33,Cargosol Logistics,17.1,17.4,10 Oct `22,7.6 Cr,₹ 28,-,84.6x,26.0x,55.3x,42.4,44.5,51.4%,-39.1%,SME
34,Containe Tech,41.4,25.9,30 Sep `22,2.6 Cr,₹ 15,-,154.1x,76.2x,115.7x,22.0,23.1,46.7%,176.1%,SME
35,Maks Energy Solutions,29.8,20.6,28 Sep `22,4.0 Cr,₹ 20,-,36.2x,16.4x,26.3x,20.0,21.0,0.0%,48.8%,SME
36,Kandarp Digi Smart ,74.0,66.4,28 Sep `22,8.1 Cr,₹ 30,-,0.9x,2.8x,1.8x,30.0,28.5,0.0%,146.7%,SME
37,Annapurna Swadisht,277.0,604.4,27 Sep `22,30.3 Cr,₹ 68,18.3x,301.1x,225.5x,133.4x,120.0,126.0,76.5%,307.4%,SME
38,Varanium Cloud,4.5,19.0,27 Sep `22,36.6 Cr,₹ 122,-,5.8x,5.1x,5.5x,131.0,128.6,7.4%,-85.3%,SME
39,Ishan International,0.9,20.5,22 Sep `22,18.2 Cr,₹ 80,-,1.6x,1.6x,1.6x,82.0,82.8,2.5%,-64.4%,SME
40,Tapi Fruit Processing,74.0,31.6,22 Sep `22,5.2 Cr,₹ 48,-,1.9x,3.3x,2.6x,52.1,54.7,8.5%,54.2%,SME
41,Sabar Flex,4.7,8.2,21 Sep `22,4.5 Cr,₹ 11,-,116.5x,54.3x,85.4x,21.0,22.1,90.9%,-57.3%,SME
