,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
15,Transpact Enterprises,1.13 x Oversubscribed,"₹130,000",1000,₹13.5 M,104.0 K,₹130,73.11 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : HEALTHCARE SUPPLIES,BSE: 542765 | GSM
16,Alphalogic Techsys,1.18 x Oversubscribed,"₹134,400",1600,₹61.8 M,736.0 K,₹84,73.49 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 542770
17,Sterling and Wilson,0.85 x Undersubscribed,"₹14,820",19,"₹28,624.7 M - ₹28,809.4 M",36.9 M,₹775 - ₹780,75.02 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: SWSOLAR | BSE: 542760
18,Spandana Sphoorty,1.05 x Oversubscribed,"₹14,552",17,"₹11,967.3 M - ₹12,009.4 M",14.0 M,₹853 - ₹856,78.18 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: SPANDANA | BSE: 542759
19,Affle,86.48 x Oversubscribed,"₹14,900",20,"₹4,565.2 M - ₹4,596.1 M",6.2 M,₹740 - ₹745,75.81 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: AFFLE | BSE: 542752
20,Wonder Electricals,1.26 x Oversubscribed,"₹142,400",1600,₹197.9 M,2.2 M,₹89,73.45 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEHOLD APPLIANCES,NSE: WEL | BSE: 543449
21,SK Intl Export,1.26 x Oversubscribed,"₹120,000",6000,₹39.6 M,2.0 M,₹20,72.99 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 542728
22,City Pulse Multiplex,3 x Oversubscribed,"₹120,000",4000,₹39.8 M,1.3 M,₹30,59.98 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,BSE: 542727 | ASM
23,AB Infrabuild,0.97 x Undersubscribed,"₹116,000",4000,₹128.4 M,4.4 M,₹29,65.05 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: ABINFRA | BSE: 544281
24,Murae Organisor,1.6 x Oversubscribed,"₹108,000",3000,₹66.5 M,1.8 M,₹36,70.04 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : AGROCHEMICALS,BSE: 542724 | GSM
25,IndiaMART InterMESH,36.21 x Oversubscribed,"₹14,595",15,"₹4,741.2 M - ₹4,755.9 M",4.9 M,₹970 - ₹973,83.01 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: INDIAMART | BSE: 542726
26,SBC Exports,1.36 x Oversubscribed,"₹132,000",6000,₹65.6 M,3.0 M,₹22,71.82 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: SBC | BSE: 542725
27,Anand Rayons,1.17 x Oversubscribed,"₹108,000",4000,₹126.6 M,4.7 M,₹27,68.71 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,BSE: 542721
28,Parshva Enterprises,1.2 x Oversubscribed,"₹135,000",3000,₹36.5 M,810.0 K,₹45,73.09 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 542694
29,Suich Industries,1.39 x Oversubscribed,"₹120,000",1600,₹300.4 M - ₹308.6 M,4.1 M,₹73 - ₹75,73 %,SECTOR : TELECOMMUNICATIONS EQUIPMENT,INDUSTRY : TELECOM EQUIPMENT,BSE: 542683
30,Cian Healthcare,1.25 x Oversubscribed,"₹130,000",2000,₹379.2 M,6.2 M,₹61,73.39 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 542678
31,Par Drugs & Chemicals,5.74 x Oversubscribed,"₹102,000",2000,₹85.3 M,1.7 M,₹51,72.82 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: PAR
32,Artemis Electricals,1.06 x Oversubscribed,"₹120,000",2000,₹378.0 M - ₹420.0 M,7.0 M,₹54 - ₹60,71.66 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEHOLD APPLIANCES,BSE: 542670
33,Evans Electric,1.59 x Oversubscribed,"₹104,000",2000,₹19.3 M,372.0 K,₹52,72.89 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 542668
34,White Organic Retail,1.36 x Oversubscribed,"₹126,000",2000,₹154.6 M,2.5 M,₹63,55.01 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 542667 | GSM
35,Neogen Chemicals,41.07 x Oversubscribed,"₹13,975",65,"₹1,303.4 M - ₹1,321.8 M",6.1 M,₹212 - ₹215,73.65 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: NEOGEN | BSE: 542665
36,GKP Printing,1.56 x Oversubscribed,"₹128,000",4000,₹65.8 M,2.1 M,₹32,71.96 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 542666
37,V R Films & Studios,1.53 x Oversubscribed,"₹122,000",2000,₹22.7 M,372.0 K,₹61,72.89 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,BSE: 542654 | GSM
38,Jinaams Dress,1.21 x Oversubscribed,"₹118,000",2000,₹424.8 M,7.2 M,₹59,67.69 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 542653
39,Polycab,51.88 x Oversubscribed,"₹14,526",27,"₹13,333.7 M - ₹13,458.7 M",25.0 M,₹533 - ₹538,83.17 %,SECTOR : CONSUMER DURABLES,INDUSTRY : WIRES & CABLES,NSE: POLYCAB | BSE: 542652
40,Metropolis Healthcare,5.84 x Oversubscribed,"₹14,960",17,"₹12,001.8 M - ₹12,042.9 M",13.7 M,₹877 - ₹880,72.73 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: METROPOLIS | BSE: 542650
41,KHFM Hospitality,1.34 x Oversubscribed,"₹108,000",3000,₹106.2 M,3.0 M,₹36,69.59 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: KHFM
42,Rail Vikas Nigam,1.82 x Oversubscribed,"₹14,820",780,"₹4,308.8 M - ₹4,815.7 M",253.5 M,₹17 - ₹19,87.84 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: RVNL | BSE: 542649
43,Osia Hyper Retail,1.12 x Oversubscribed,"₹100,800",400,₹397.8 M,1.6 M,₹252,73.49 %,SECTOR : RETAILING,INDUSTRY : DEPARTMENT STORES,NSE: OSIAHYPER
44,Northern Spirits,1.3 x Oversubscribed,"₹129,000",3000,₹185.0 M,4.3 M,₹43,73.2 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 542628
45,Roopshri Resorts,1.09 x Oversubscribed,"₹120,000",6000,₹36.0 M,1.8 M,₹20,62.58 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,BSE: 542599
46,Embassy Office Parks REIT,2.57 x Oversubscribed,"₹120,000",400,"₹47,341.6 M - ₹47,500.0 M",158.3 M,₹299 - ₹300,-,SECTOR : REALTY,INDUSTRY : REITS-INVITS,NSE: EMBASSY | BSE: 542602
47,MSTC,1.46 x Oversubscribed,"₹11,520",90,"₹2,120.4 M - ₹2,261.8 M",17.7 M,₹120 - ₹128,74.9 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: MSTCLTD | BSE: 542597
48,Artedz Fabs,1.54 x Oversubscribed,"₹108,000",3000,₹78.5 M - ₹83.2 M,2.3 M,₹34 - ₹36,73.01 %,ARTEDZ FABS LTD.,,NSE: ARTEDZ
49,Humming Bird Edu,1.42 x Oversubscribed,"₹132,000",1000,₹21.5 M,163.0 K,₹132,73.41 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,BSE: 542592
50,Ashapuri Ornament,1.16 x Oversubscribed,"₹102,000",2000,₹293.3 M,5.8 M,₹51,73 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 542579
51,Aartech Solonics,2 x Oversubscribed,"₹136,000",4000,₹72.1 M,2.1 M,₹34,69.97 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,BSE: 542580 | ASM
52,Mahip Industries,1.54 x Oversubscribed,"₹128,000",4000,₹166.3 M,5.2 M,₹32,72.99 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 542503
53,Gleam Fabmat,1.75 x Oversubscribed,"₹100,000",10000,₹31.2 M,3.1 M,₹10,68.86 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 542477
54,Kranti Industries,1.29 x Oversubscribed,"₹111,000",3000,₹85.8 M,2.3 M,₹37,73.65 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,BSE: 542459
55,Mindpool Tech,2.09 x Oversubscribed,"₹120,000",4000,₹36.0 M,1.2 M,₹30,71.68 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: MINDPOOL
56,Jonjua Overseas,0.46 x Undersubscribed,"₹100,000",10000,₹13.0 M,1.3 M,₹10,72.55 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 542446
57,Anmol,1.56 x Oversubscribed,"₹132,000",4000,₹102.3 M,3.1 M,₹33,70.14 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : DISTRIBUTORS,NSE: ANMOL | BSE: 542437
58,Chalet Hotels,1.57 x Oversubscribed,"₹14,840",53,"₹16,118.7 M - ₹16,411.8 M",58.6 M,₹275 - ₹280,71.41 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: CHALET | BSE: 542399
59,Ritco Logistics,1.39 x Oversubscribed,"₹116,800",1600,₹468.6 M - ₹481.8 M,6.6 M,₹71 - ₹73,73.04 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: RITCO | BSE: 542383
60,Surani Steel Tubes,1.55 x Oversubscribed,"₹104,000",2000,₹126.7 M - ₹129.2 M,2.5 M,₹51 - ₹52,70.01 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: SURANI
61,Xelpmoc Design,3.25 x Oversubscribed,"₹13,200",200,₹217.1 M - ₹231.1 M,3.5 M,₹62 - ₹66,74.45 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: XELPMOC | BSE: 542367
62,Mrs. Bectors Food,198.02 x Oversubscribed,"₹14,400",50,"₹5,367.8 M - ₹5,405.4 M",18.8 M,₹286 - ₹288,68.05 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: BECTORFOOD | BSE: 543253
63,Restaurant Brands Asia,156.65 x Oversubscribed,"₹15,000",250,"₹7,965.0 M - ₹8,100.0 M",135.0 M,₹59 - ₹60,64.63 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,NSE: RBA | BSE: 543248
64,Net Pix Shorts Digital,1.77 x Oversubscribed,"₹120,000",4000,₹27.0 M,900.0 K,₹30,71.88 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,BSE: 543247
65,Gland Pharma,2.06 x Oversubscribed,"₹15,000",10,"₹64,363.5 M - ₹64,795.5 M",43.2 M,₹1490 - ₹1500,73.54 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: GLAND | BSE: 543245
66,Equitas Small Finance Bank,1.95 x Oversubscribed,"₹14,850",450,"₹5,019.2 M - ₹5,176.0 M",156.8 M,₹32 - ₹33,86.22 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: EQUITASBNK | BSE: 543243
67,Shine Fashions,1.73 x Oversubscribed,"₹120,000",3000,₹16.0 M,399.0 K,₹40,71.48 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,BSE: 543244
68,Bodhi Tree Multimedia,1.6 x Oversubscribed,"₹114,000",1200,₹37.1 M,390.0 K,₹95,68.8 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: BTML | BSE: 543767
69,Sigma Solve,1.59 x Oversubscribed,"₹135,000",3000,₹49.5 M,1.1 M,₹45,73.22 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: SIGMA | BSE: 543917
70,Atal Realtech,1.2 x Oversubscribed,"₹115,200",1600,₹108.3 M,1.5 M,₹72,69.52 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: ATALREAL | BSE: 543911
71,Likhitha Infra,9.51 x Oversubscribed,"₹15,000",125,₹591.6 M - ₹612.0 M,5.1 M,₹116 - ₹120,74.14 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: LIKHITHA | BSE: 543240
72,G M Polyplast,1.6 x Oversubscribed,"₹127,200",800,₹80.9 M,508.8 K,₹159,73.54 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,BSE: 543239
73,AAA Technologies,2.39 x Oversubscribed,"₹126,000",3000,₹102.3 M,2.4 M,₹42,71.51 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,NSE: AAATECH | BSE: 543671
74,UTI Asset Management,2.31 x Oversubscribed,"₹14,958",27,"₹21,520.9 M - ₹21,598.8 M",39.0 M,₹552 - ₹554,-,SECTOR : BANKING AND FINANCE,INDUSTRY : ASSET MANAGEMENT COS.,NSE: UTIAMC | BSE: 543238
75,Mazagon Dock Shipbuilders,157.41 x Oversubscribed,"₹14,935",103,"₹4,130.9 M - ₹4,436.9 M",30.6 M,₹135 - ₹145,84.83 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: MAZDOCK | BSE: 543237
76,Atam Valves,2.91 x Oversubscribed,"₹120,000",3000,₹45.0 M,1.1 M,₹40,72.73 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 543236
77,Angel One,3.94 x Oversubscribed,"₹14,994",49,"₹5,980.4 M - ₹6,000.0 M",19.6 M,₹305 - ₹306,88.01 %,SECTOR : BANKING AND FINANCE,INDUSTRY : CAPITAL MARKETS,NSE: ANGELONE | BSE: 543235
78,Computer Age Mgmt,46.99 x Oversubscribed,"₹14,760",12,"₹22,425.1 M - ₹22,443.3 M",18.2 M,₹1229 - ₹1230,62.6 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : DATA PROCESSING SERVICES,NSE: CAMS | BSE: 543232
79,Chemcon Speciality,149.3 x Oversubscribed,"₹14,960",44,"₹3,161.3 M - ₹3,180.0 M",9.4 M,₹338 - ₹340,74.47 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: CHEMCON | BSE: 543233
80,SecMark Consultancy,1.24 x Oversubscribed,"₹135,000",1000,₹150.4 M,1.1 M,₹135,72.99 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 543234
81,Advait Infratech,1.92 x Oversubscribed,"₹102,000",2000,₹68.9 M,1.4 M,₹51,73.53 %,SECTOR : CONSUMER DURABLES,INDUSTRY : WIRES & CABLES,BSE: 543230
82,Route Mobile,73.3 x Oversubscribed,"₹14,000",40,"₹6,000.0 M - ₹6,087.0 M",17.4 M,₹345 - ₹350,69.41 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: ROUTE | BSE: 543228
83,Happiest Minds,150.98 x Oversubscribed,"₹14,940",90,"₹6,977.9 M - ₹7,020.2 M",42.3 M,₹165 - ₹166,71.2 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: HAPPSTMNDS | BSE: 543227
84,Trekkingtoes.com,1.55 x Oversubscribed,"₹126,000",1200,₹45.4 M,433.2 K,₹105,72.96 %,TREKKINGTOES.COM LTD.,,BSE: 543222
85,Suratwwala Business Group,1.31 x Oversubscribed,"₹120,000",8000,₹69.0 M,4.6 M,₹15,73.47 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543218
86,Mindspace REIT,12.96 x Oversubscribed,"₹55,000",200,"₹44,836.4 M - ₹45,000.0 M",163.6 M,₹274 - ₹275,-,SECTOR : REALTY,INDUSTRY : REITS-INVITS,NSE: MINDSPACE | BSE: 543217
87,Rossari Biotech,79.37 x Oversubscribed,"₹14,875",35,"₹4,941.5 M - ₹4,964.9 M",11.7 M,₹423 - ₹425,77.51 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: ROSSARI | BSE: 543213
88,Bonlon Industries,1.36 x Oversubscribed,"₹112,000",4000,₹105.2 M,3.8 M,₹28,73.52 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 543211
89,Ksolves,1.42 x Oversubscribed,"₹120,000",1200,₹40.2 M,402.0 K,₹100,72.87 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: KSOLVES | BSE: 543599
90,Billwin Industries,1.37 x Oversubscribed,"₹111,000",3000,₹24.6 M,666.0 K,₹37,68.74 %,SECTOR : DIVERSIFIED,INDUSTRY : DIVERSIFIED,BSE: 543209
91,Nirmitee Robotics,1.15 x Oversubscribed,"₹111,000",600,₹32.4 M,175.2 K,₹185,70.81 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 543194 | ASM
92,Laxmi Goldorna House,1.21 x Oversubscribed,"₹120,000",8000,₹82.8 M,5.5 M,₹15,73.55 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: LGHL
93,DJ Mediaprint & Logistics,1.83 x Oversubscribed,"₹120,000",6000,₹24.0 M,1.2 M,₹20,71.52 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 543193 | ASM
94,Cospower Engineering,1.53 x Oversubscribed,"₹102,000",2000,₹20.4 M,400.0 K,₹51,73.33 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 543172
95,RO Jewels,1.19 x Oversubscribed,"₹108,000",3000,₹49.1 M,1.4 M,₹36,51.8 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 543171 | GSM
96,SM Auto Stamping,1.34 x Oversubscribed,"₹144,000",8000,₹69.1 M,3.8 M,₹18,73.12 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,BSE: 543065
97,SBI Cards and Payment,26.54 x Oversubscribed,"₹14,345",19,"₹102,895.1 M - ₹103,581.1 M",137.2 M,₹750 - ₹755,85.39 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: SBICARD | BSE: 543066
98,Chandra Bhagat Pharma,1.65 x Oversubscribed,"₹102,000",2000,₹102.0 M,2.0 M,₹51,73.49 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 542934
99,ICL Organic Dairy,3.08 x Oversubscribed,"₹120,000",6000,₹40.8 M,2.0 M,₹20,66.01 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,BSE: 542935
100,Janus Corporation,1.26 x Oversubscribed,"₹150,000",3000,₹80.0 M,1.6 M,₹50,72.14 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 542924
101,Tranway Technologies,1.98 x Oversubscribed,"₹100,000",10000,₹42.4 M,4.2 M,₹10,60 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 542923
102,Hindprakash Industries,2.16 x Oversubscribed,"₹120,000",3000,₹115.2 M,2.9 M,₹40,72.37 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : DYES & PIGMENTS,NSE: HPIL | BSE: 543645
103,Gian Life Care,1.34 x Oversubscribed,"₹132,000",6000,₹31.2 M,1.4 M,₹22,69.88 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,BSE: 542918
104,Vaxtex Cotfab,2.86 x Oversubscribed,"₹144,000",6000,₹38.3 M,1.6 M,₹24,73.5 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: VCL
105,Valencia Nutrition,1.56 x Oversubscribed,"₹138,000",3000,₹72.3 M,1.6 M,₹46,71.85 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,BSE: 542910
106,CMS Info Systems,1.95 x Oversubscribed,"₹14,904",69,"₹10,439.8 M - ₹11,000.0 M",50.9 M,₹205 - ₹216,65.59 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,NSE: CMSINFO | BSE: 543441
107,Vivo Collaboration,282.97 x Oversubscribed,"₹131,200",1600,₹44.0 M,536.0 K,₹82,73.4 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: VIVO
108,Brandbucket Media,1.58 x Oversubscribed,"₹110,000",2000,₹82.5 M,1.5 M,₹55,52.43 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,BSE: 543439
109,Wherrelz IT Solutions,2.25 x Oversubscribed,"₹136,800",800,₹20.1 M,117.6 K,₹171,69.82 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 543436 | GSM
110,Clara Industries,1.53 x Oversubscribed,"₹129,000",3000,₹30.2 M,702.0 K,₹43,71.7 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 543435
111,Supriya Lifescience,71.51 x Oversubscribed,"₹14,796",54,"₹6,770.1 M - ₹7,000.0 M",25.5 M,₹265 - ₹274,68.26 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: SUPRIYA | BSE: 543434
112,Foce,1.57 x Oversubscribed,"₹135,000",600,₹290.3 M,1.3 M,₹225,73.64 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: FOCE
