,Company,Indicator,CAGR 3 Yrs,CAGR 5 Yrs,TTM,Mar '25,Mar '24,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,Mar '17,Mar '16,Mar '15
120,Cian Healthcare,Cash from Operating Act. Ann.,55.5%,-,,20.7,6.9,2.2,5.5,5.5,-9.2,9.2,7.7,5.9,,
121,Cian Healthcare,Cash from Investing Act. Ann.,-,-,,-0.3,-0.9,-1.1,-3.9,-1.2,-25.2,-4.7,-2.7,-4,,
122,Cian Healthcare,Cash from Financing Act. Ann.,-,-,,-3.5,-6.4,-1.2,-2.7,-5.1,35.1,-2.8,-5.5,-1.4,,
123,Cian Healthcare,Net Cash Flow Ann.,-,89%,,16.9,-0.4,-0.1,-1,-0.8,0.7,1.7,-0.5,0.5,,
124,Par Drugs & Chemicals,Cash from Operating Act. Ann.,28.7%,16%,,16.2,20.3,13.4,7.6,12.1,7.7,7.6,4.3,9.2,6.5,8.9
125,Par Drugs & Chemicals,Cash from Investing Act. Ann.,-,-,,-25.2,-5.8,-7.3,-3,0.1,-1.5,-0.3,-0.6,-1.7,-0.1,-0.3
126,Par Drugs & Chemicals,Cash from Financing Act. Ann.,-,-,,,,,-9.6,1.7,1.1,-7.4,-3.7,-8.4,-5.5,-9.3
127,Par Drugs & Chemicals,Net Cash Flow Ann.,-,-,,-9.1,14.4,6,-5,13.8,7.4,-0,0.1,-0.9,0.9,-0.7
128,Artemis Electricals,Cash from Operating Act. Ann.,195.3%,-,,41.2,21.2,11.7,1.6,-1.9,-33.8,5.1,3.4,0.8,0.8,
129,Artemis Electricals,Cash from Investing Act. Ann.,-,-,,-29.7,-4.6,-7.7,-17.4,0,-3.2,-0.3,-14.9,-0.9,-1.6,
130,Artemis Electricals,Cash from Financing Act. Ann.,-,-,,-10.2,-16.7,-4,15.7,1.8,36.4,-4.3,11.5,0.1,0.0,
131,Artemis Electricals,Net Cash Flow Ann.,-,-,,1.3,0,,,,-0.5,0.5,-0,-0,-0.7,
132,Evans Electric,Cash from Operating Act. Ann.,-14%,-,,0.7,3.6,6.3,1.1,-0.2,-0.3,,1,2.6,-0.4,
133,Evans Electric,Cash from Investing Act. Ann.,-,-,,-1.8,-1.1,-5.3,-1.2,-0.5,-1.8,,0.1,-0.5,0.1,
134,Evans Electric,Cash from Financing Act. Ann.,-,-,,-0.8,-0.6,-1,0.4,-0.3,1.5,,-0.5,0.3,,
135,Evans Electric,Net Cash Flow Ann.,-,-,,-2,1.9,0,0.3,-1,-0.6,,0.6,2.4,-0.3,
136,White Organic Retail,Cash from Operating Act. Ann.,-,-,,-4.1,-12.5,-2.6,2.4,2.9,-25.4,-0.7,-5.2,0.6,0.3,-0.5
137,White Organic Retail,Cash from Investing Act. Ann.,-11.4%,-9.1%,,4.1,12.8,0.5,5.9,-0.6,6.6,2.3,5.5,-0.3,,
138,White Organic Retail,Cash from Financing Act. Ann.,-,-58.1%,,0.2,-0,0,-6.9,-1.9,15.5,1.9,,-0.2,-0.3,0.5
139,White Organic Retail,Net Cash Flow Ann.,-47.7%,-,,0.2,0.3,-2.2,1.4,0.4,-3.3,3.5,0.3,0,,-0
140,Neogen Chemicals,Cash from Operating Act. Ann.,449.2%,-,,198.8,-115.2,-30.4,1.2,83.3,-34.1,-3.8,11.8,0.3,8.6,8.7
141,Neogen Chemicals,Cash from Investing Act. Ann.,-,-,,-188.4,-122.2,-94.5,-145.6,-134.3,-28.9,-20.2,-12.6,-33,-4.4,-1.8
142,Neogen Chemicals,Cash from Financing Act. Ann.,-,-,,-12.1,217.4,100.3,188.4,50.7,62.5,24.2,-0.4,33.3,-4.1,-6.3
143,Neogen Chemicals,Net Cash Flow Ann.,-,-,,-1.8,-20,-24.5,44,-0.3,-0.5,0.2,-1.3,0.6,0.1,0.6
144,GKP Printing,Cash from Operating Act. Ann.,-29.2%,-,,1.1,1.4,1.3,3.1,1.6,-10.5,-5.4,2.3,-1.6,0.2,
145,GKP Printing,Cash from Investing Act. Ann.,-,-,,-0.3,-3.5,-2.3,-1.8,-0.2,-0.4,-0.8,-3.2,-0.3,0.0,
146,GKP Printing,Cash from Financing Act. Ann.,-,-,,-1.2,2,0.5,-0.3,-0.6,9.3,8.7,0.9,2,-0.2,
147,GKP Printing,Net Cash Flow Ann.,-,-,,-0.3,-0.2,-0.5,1,0.7,-1.6,2.6,-0.1,0.1,,
148,V R Films & Studios,Cash from Operating Act. Ann.,-,-,,2.9,0.6,-1.6,-2.8,2.1,-0.8,-0.7,1.7,1.4,0.8,
149,V R Films & Studios,Cash from Investing Act. Ann.,-,-,,-1.7,0.5,-0.3,-2.3,-1.1,-0.4,-0.1,-0.7,-0.5,-0.1,
150,V R Films & Studios,Cash from Financing Act. Ann.,-,-,,-1.3,-1.2,1.7,5.1,-0.5,1.2,0.6,-1,-0.8,-1.1,
151,V R Films & Studios,Net Cash Flow Ann.,-,-,,-0.2,-0.1,-0.2,-0.1,0.6,0,-0.2,0.1,0.1,-0.5,
152,Jinaams Dress,Cash from Operating Act. Ann.,-,-,,,,,,,,-0.7,4.8,0.7,6.2,-8.6
153,Jinaams Dress,Cash from Investing Act. Ann.,-,-,,,,,,,,-1.7,-12.6,-1.7,-4.9,-2.2
154,Jinaams Dress,Cash from Financing Act. Ann.,-,-,,,,,,,,2.1,8.1,0.4,-0.3,10.7
155,Jinaams Dress,Net Cash Flow Ann.,-,-,,,,,,,-,-0.3,0.2,-0.7,0.9,-0.1
156,Polycab,Cash from Operating Act. Ann.,57.8%,50.6%,,"1,809.8","1,291.7","1,447",460.9,"1,160.6",233.9,"1,224",352,283.1,221.0,154.1
157,Polycab,Cash from Investing Act. Ann.,-,-,,"-1,210.5",-762.3,"-1,182.4",-360,"-1,037.6",-257.1,-395.8,-178,-268.7,-251.3,-175.6
158,Polycab,Cash from Financing Act. Ann.,-,-,,-664.1,-396.3,-256.6,-184.5,-95.6,15.5,-657.3,-188.6,-19.1,40.6,15.8
159,Polycab,Net Cash Flow Ann.,-,-,,-64.8,133.2,8,-83.6,27.4,-7.7,171,-14.6,-4.6,10.3,-5.7
160,Metropolis Healthcare,Cash from Operating Act. Ann.,5.1%,12%,,275,269,237.7,237.2,202.5,156.1,56.4,75.9,77,74.6,42.6
161,Metropolis Healthcare,Cash from Investing Act. Ann.,-,-,,-196.1,-81,46.7,-733.8,73.5,-51.1,-4.4,17.5,-66.7,100.9,-36.3
162,Metropolis Healthcare,Cash from Financing Act. Ann.,-,-,,-84.5,-183,-287.9,173.1,-26.3,-46.4,-64,-81.6,-16.5,-164.9,-9.6
163,Metropolis Healthcare,Net Cash Flow Ann.,-,-,,-5.6,5,-3.4,-323.5,249.7,58.6,-11.9,11.8,-6.2,10.7,-3.2
164,KHFM Hospitality,Cash from Operating Act. Ann.,-,-,,-3.5,7.3,,10.5,3.6,-2.6,6.8,4.9,,1.6,1.7
165,KHFM Hospitality,Cash from Investing Act. Ann.,-,-,,0.1,-2.1,,-4.4,-1.7,-0.6,-1.1,-0.2,,-1.6,1.3
166,KHFM Hospitality,Cash from Financing Act. Ann.,-,-9.6%,,3.2,-5.1,,-5.7,-5.4,5.3,-5.1,-3.8,,-0.3,-2.2
167,KHFM Hospitality,Net Cash Flow Ann.,-,-,,-0.3,0.2,,0.4,-3.4,2.1,0.5,0.9,,-0.3,0.8
168,Rail Vikas Nigam,Cash from Operating Act. Ann.,-26.4%,-,,"1,919.9","2,939.3","-4,080.1","4,812.9",656.8,-964.6,-292.9,-364.6,275.2,413.9,"-2,538.6"
169,Rail Vikas Nigam,Cash from Investing Act. Ann.,-,65.8%,,"1,581.6","-1,431.4","1,353.7","-1,472.1",72.1,126.1,-82.5,36,19.5,87.5,-504
170,Rail Vikas Nigam,Cash from Financing Act. Ann.,-,-,,"-1,484.2","-1,286.6","-1,036",-186.8,416.7,827.1,319,-581.2,-421.2,69.8,"2,624"
171,Rail Vikas Nigam,Net Cash Flow Ann.,-13.8%,-,,"2,017.4",221.4,"-3,762.4","3,154","1,145.6",-11.5,-56.4,-909.8,-126.5,571.2,-418.5
172,Osia Hyper Retail,Cash from Operating Act. Ann.,-,-,,-230.5,9.3,-6,-43,-7.3,-12.6,2.7,2,1.8,-3.0,
173,Osia Hyper Retail,Cash from Investing Act. Ann.,-,-,,-7.5,-16.5,-20,-24.9,-14.7,-7.1,-8.3,-9.5,-9.9,-6.4,
174,Osia Hyper Retail,Cash from Financing Act. Ann.,34.3%,55.7%,,201.1,33.6,35.2,83,20.6,22,5.1,8.4,8.2,10.5,
175,Osia Hyper Retail,Net Cash Flow Ann.,-,-,,-36.9,26.4,9.2,15.1,-1.5,2.4,-0.5,0.9,0.1,1.1,
176,Northern Spirits,Cash from Operating Act. Ann.,-,-,,-6.7,-29.3,-22.2,0.1,-10,-12.2,-50.4,-6.9,0.8,1.0,0.7
177,Northern Spirits,Cash from Investing Act. Ann.,-,-,,-1.3,-0.3,-0.3,-0.3,,,-6,-0,0,-0.5,-3.8
178,Northern Spirits,Cash from Financing Act. Ann.,-,2.3%,,17,33.6,-4,-2.5,3.5,15.2,20.1,1.7,-0.4,-0.5,3.2
179,Northern Spirits,Net Cash Flow Ann.,-,25.1%,,8.9,4,-26.6,-2.7,-6.5,2.9,-36.3,-5.3,0.4,-0.1,0.1
180,Roopshri Resorts,Cash from Operating Act. Ann.,-,104.8%,,3.6,0.7,0.2,-0.1,0.2,0.1,-5.8,,-0,,
181,Roopshri Resorts,Cash from Investing Act. Ann.,-,-,,0.3,-0.1,-0.7,-0.8,-0.1,-0.2,,-0,,,
182,Roopshri Resorts,Cash from Financing Act. Ann.,-,-9.4%,,,4.7,2.5,-0,,-0.2,7.7,,,,
183,Roopshri Resorts,Net Cash Flow Ann.,-,-,,3.9,5.3,2.1,-1,0.1,-0.2,1.9,-0,-0,,
184,Embassy Office Parks REIT,Cash from Operating Act. Ann.,9.2%,-,,"3,079.3","2,590.9","2,565.5","2,367",-33.3,-49.8,3.2,,,,
